	label	spaGCN_6	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_4	CellCharter_2	CellCharter_3	CellCharter_1	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_1	SpaceFlow_4	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_2	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_4	STAGATE_13
label	0.0	0.4146381181272067	0.40512019029586227	0.2120210726926896	0.23810189214784616	0.23665632282819343	0.1973041574460223	0.22556538724826256	0.22720171788806773	0.42655305248652653	0.4534066526146232	0.2596495556505379	0.3228294716068157	0.3710547640527909	0.3701789134377179	0.3243974354782038	0.3639740807010478	0.33988581399915774	0.38313899443892285	0.39740608105833286	0.276764183924532	0.29352883774993577	0.35212443691969403	0.3968018486760978	0.21825877164862523	0.2023561136723929	0.20177440146856573	0.22244437676414128	0.19768881087210707	0.25207661005143855	0.24338286305422646	0.27725922127285196	0.3702219549912521	0.38453736073447287	0.37281921292819276	0.4056882460315281	0.2642644748679948	0.2839715272596208	0.26509556221020636
spaGCN_6	0.4146381181272067	0.0	0.9391397294537168	0.47484245203238074	0.5033459859990587	0.4929942826404158	0.32730585114218685	0.3393759514765101	0.33835885485968775	0.5914414866794588	0.5132610124612321	0.45982167284971764	0.4935324797867958	0.46906739228184696	0.4460982345323217	0.46430485065618937	0.5559444397024971	0.5250742691647382	0.5810101074964699	0.5967416326573793	0.49836392419577047	0.5056139601502867	0.5224115932717625	0.5265425324624505	0.4445176470582743	0.27256678647986704	0.26886377540229983	0.30130615066315886	0.27411240469618403	0.35373246129511604	0.3653854772041303	0.5177878509170938	0.47878003138122693	0.3379877565025958	0.3673048833132445	0.5554512858280273	0.42934241556567665	0.3660970005179344	0.4686929823692579
spaGCN_4	0.40512019029586227	0.9391397294537168	0.0	0.47241968138708673	0.5087024327037297	0.49329980700100706	0.32664965218845654	0.3388912947411882	0.33791142063845486	0.5779542782586823	0.5000186749717234	0.45077731107358326	0.4810541198688701	0.4600479599840729	0.4368291254095871	0.453452694943354	0.5456456276955601	0.5117701256401633	0.5692905769711011	0.5827913596380537	0.4901845371624265	0.49704566462549604	0.5093809885960205	0.5127887969649105	0.43933892351326953	0.27090200861462743	0.26729156292402384	0.29915946645172303	0.2731150242154284	0.351949721417872	0.36361854437674207	0.5099511221487989	0.4659164350200792	0.32737406489494936	0.3555524396904642	0.5408183095234347	0.41953381865102335	0.35928610914061243	0.4619670077541078
spaGCN_7	0.2120210726926896	0.47484245203238074	0.47241968138708673	0.0	0.4617749587585039	0.6709571952887963	0.6613977392583172	0.6720902499683773	0.6715128751090572	0.3712651056447035	0.33072634809081364	0.39732379483248276	0.3168608089947707	0.3025527700524021	0.28963012561593837	0.2953043692269264	0.3757440016331595	0.40080894328031663	0.39088115255840217	0.4110580622130531	0.33411646272563417	0.33127907224085484	0.3453022109729126	0.33757051390221393	0.47460432447729606	0.5228785911897735	0.5190384268444056	0.523034407315922	0.5389228603582834	0.6606476248987961	0.674681843210909	0.32433830244360184	0.31734398099386246	0.21181447600752037	0.2337905523141465	0.3650452741815722	0.28308694110501303	0.24869034555780598	0.3116456431815411
spaGCN_14	0.23810189214784616	0.5033459859990587	0.5087024327037297	0.4617749587585039	0.0	0.5033267237311144	0.3466116208205447	0.36132275759342924	0.35946908743717715	0.36506463379869974	0.3289266165550887	0.3800512922106807	0.35147178438917015	0.30548830321338155	0.2920408482150047	0.3083269762130194	0.3684091019519477	0.336703517817356	0.3352670425809954	0.36906852729554473	0.3553007106932364	0.35846090216257925	0.35466330912115024	0.3408110978616459	0.3648526598436931	0.3153782963329362	0.315967266036413	0.32740931263837	0.3152234504800522	0.34317704678015	0.35035735100838594	0.3683859566505177	0.3039821296659054	0.2169930508145665	0.23507942306732904	0.34517538210669124	0.28806676546121057	0.25304952712763146	0.3512038421360411
spaGCN_13	0.23665632282819343	0.4929942826404158	0.49329980700100706	0.6709571952887963	0.5033267237311144	0.0	0.5504928347256727	0.5636914295132095	0.5641618090597121	0.39889399794393	0.37527195564222277	0.3998864945593273	0.34368526703736213	0.32160327156645235	0.29974338048088295	0.3267892829468931	0.39691334624957536	0.37184897506372394	0.3690663438744979	0.4128506766887659	0.33733710491395597	0.33918372140526704	0.34262936006253303	0.33966307390041994	0.4756016296381216	0.45406624020155634	0.45657410986297964	0.449104818689569	0.45406080617186095	0.5228754364893131	0.5356947665649469	0.3407199008146839	0.322294628686767	0.22665344982424263	0.23704036219566516	0.37235353888963046	0.2907773472302725	0.2559354408274276	0.3268838284431147
scanpy_2	0.1973041574460223	0.32730585114218685	0.32664965218845654	0.6613977392583172	0.3466116208205447	0.5504928347256727	0.0	0.9258501822784021	0.9370221976283184	0.27705588886440785	0.2854909835399661	0.3709769886716125	0.26524429208255573	0.23416554656187935	0.2126258731391789	0.25509626944381314	0.34369197536091206	0.3324357610015987	0.3057577028393968	0.3483626449833974	0.26443079357748994	0.24795861000665906	0.23639834553698552	0.2279357972417831	0.4730837931896162	0.6704879817659608	0.6664451185161381	0.6469922890407129	0.6831643267152493	0.8058300394195593	0.8048343457277768	0.25946261504325135	0.23056205488088427	0.1715513346183115	0.1645886927599457	0.24966512436296934	0.2234402802240737	0.19367105657837944	0.24680043893640993
scanpy_3	0.22556538724826256	0.3393759514765101	0.3388912947411882	0.6720902499683773	0.36132275759342924	0.5636914295132095	0.9258501822784021	0.0	0.965363795039313	0.29331130049387755	0.3083972745114737	0.38020639317120525	0.2774557326182118	0.2484764007973671	0.22242301430820496	0.2666110784473693	0.36427325202637323	0.35039251195327875	0.315955493084715	0.36097773354460944	0.2690854355740074	0.26032322035057365	0.24761742863751346	0.23966269506471194	0.4792463528723832	0.6664982770813087	0.6680646960592006	0.6575587549651328	0.6773590482146901	0.8449845654223772	0.8421673136957429	0.2672038662092659	0.24175905058433192	0.18402589172174022	0.17305931356673585	0.2627022631211791	0.2311243787089919	0.20435734057959168	0.2562651895736302
scanpy_1	0.22720171788806773	0.33835885485968775	0.33791142063845486	0.6715128751090572	0.35946908743717715	0.5641618090597121	0.9370221976283184	0.965363795039313	0.0	0.2942719353811853	0.3100258075844394	0.3820524105126885	0.2781534621674397	0.24882788224599603	0.22299845898545212	0.266934868903501	0.36233185159561315	0.3489017549121548	0.3145640789729076	0.35918134665212814	0.26855222498957143	0.2591030945783192	0.24673264000251466	0.23971324316594772	0.4814694006359995	0.6652205397462764	0.6661089741888254	0.6534194255029723	0.6726068440234542	0.8466840073562304	0.8439979222844801	0.26568497593084095	0.24092703942769134	0.184688988374488	0.17309004001785835	0.2619994623583302	0.2295737511738239	0.20386482237721604	0.25516549302779884
bass_5	0.42655305248652653	0.5914414866794588	0.5779542782586823	0.3712651056447035	0.36506463379869974	0.39889399794393	0.27705588886440785	0.29331130049387755	0.2942719353811853	0.0	0.7547960851635959	0.5371273129834724	0.6710459210571403	0.5651256312046794	0.5454812832927096	0.5659265590072957	0.47230517365496916	0.5011496804623713	0.5312096881751642	0.5222264074466924	0.5542421747917219	0.5517381311631815	0.5879398589260296	0.6071651064324087	0.4364215489143427	0.2374608676818094	0.2368340416578717	0.2642961918568681	0.23496256304602384	0.29354233251036205	0.3038815974024325	0.5686051079595119	0.5537559818991432	0.46018994975668603	0.4624102011942333	0.6387869973021058	0.46807981186316944	0.42836636844501896	0.5118628119168692
