	label	GraphST_default	GraphST_2	GraphST_dlpfc	GraphST_1	SEDR_default	SEDR_2	SEDR_dlpfc	SEDR_1	STAGATE_starmap	STAGATE_default	STAGATE_slide_stereo	STAGATE_1	BayesSpace_default	BayesSpace_melanoma	BayesSpace_1	BayesSpace_scc	bass_starmap	bass_default	bass_dlpfc	bass_1	spaGCN_default	spaGCN_2	spaGCN_3	spaGCN_1	stardust_default	stardust_tutorial	stardust_2	stardust_1	SpaceFlow_default	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	DRSC_default	DRSC_FindSVGs	DRSC_all_genes	DRSC_FindVariableFeatures	precast_default	precast_dlpfc	precast_1	precast_BC	seurat-louvain_louvain_3	seurat-leiden_leiden_4	seurat-leiden_leiden_1	seurat-louvain_louvain_1	seurat-louvain_louvain_4	seurat-leiden_leiden_2	seurat-louvain_louvain_2	seurat-leiden_leiden_3	CellCharter_default	CellCharter_2	CellCharter_dlpfc	CellCharter_1	BANKSY_starmap	BANKSY_default	BANKSY_github	BANKSY_dlpfc	scanpy-louvain_louvain_3	scanpy-leiden_leiden_4	scanpy-leiden_leiden_1	scanpy-louvain_louvain_1	scanpy-louvain_louvain_4	scanpy-leiden_leiden_2	scanpy-louvain_louvain_2	scanpy-leiden_leiden_3
label	0.0	0.5808823907997203	0.6572031691752396	0.6237594736310423	0.6658345042720061	0.5577401270363883	0.5608811760887005	0.5618615880337086	0.5802230446599983	0.549823702878171	0.5174766962558648	0.3255299788639597	0.5385310676063266	0.7354351054532119	0.6972903868506979	0.6979070267852326	0.7344538061251255	0.6909858010359833	0.6881409008615563	0.4285631219750233	0.431077251430998	0.31408333923361414	0.544736724437767	0.49710093202646144	0.3009492932404708	0.35496079390116186	0.4285409174008355	0.432524830737158	0.3542556791905512	0.5210425267721643	0.3621407519780302	0.44951764829043717	0.37142563039100895	0.5792548597760583	0.411324222042864	0.5577502369763117	0.5326646366729889	0.45309160170843715	0.5637213876742694	0.5152748307160783	0.4506695715695873	0.31186478119093763	0.37047656555078795	0.3205074432536189	0.30819603794527056	0.36038761130081187	0.37047656555078795	0.36038761130081187	0.34040753662945405	0.563723803618944	0.558720379936289	0.5337725676646313	0.5638706986088208	0.4981002775862508	0.4440638065299818	0.4983086019595445	0.4056187816296416	0.19449956805833735	0.18155839484666705	0.16581080001383064	0.20244323308228018	0.18573893041776354	0.1851376293259482	0.20083942307322697	0.18643528885546803
GraphST_default	0.5808823907997203	0.0	0.637046606653647	0.7819301934631397	0.6055259639283902	0.6786782387935498	0.6944518838628734	0.6870996012846149	0.7448536068186484	0.5476507453450309	0.6387326636977949	0.2966526589914595	0.5570036916069967	0.6266623262711406	0.6428043851741033	0.6442087288461948	0.6265654985102314	0.6317760803075569	0.6227876692998285	0.5170310290924728	0.5133766982941004	0.34563170156192885	0.47937811955329845	0.44003847309470895	0.3240408022538762	0.36213723995468033	0.32480047897420256	0.32886236863010376	0.36245868629183536	0.5761305409124582	0.38861732324509474	0.33461385109713737	0.4164719951864574	0.6970360167323038	0.47467539066674047	0.6658854323083435	0.6452337781192631	0.4158020986468421	0.7450025635728583	0.5704700806639554	0.4154930268164643	0.2657088052513387	0.34557226127902413	0.2754140614077099	0.2640503727214091	0.3270926595243443	0.34557226127902413	0.3270926595243443	0.2949287074558874	0.5990023989764584	0.5930833293678882	0.5527789931362148	0.6008297584752355	0.5537986088796408	0.477320740787373	0.5870668574212206	0.5092013707127566	0.20122371609417858	0.17575760214465175	0.17471076437500066	0.20539461486902122	0.1836074938376771	0.17619442732092463	0.1931324648175766	0.18837171617454607
GraphST_2	0.6572031691752396	0.637046606653647	0.0	0.6249903697498572	0.8596292403679924	0.5859417290959095	0.6023238536651296	0.5873256381156542	0.6177516061700193	0.5511929188816176	0.5455356629364587	0.35533984171821903	0.48612367445736204	0.7481509128260053	0.8574822215902073	0.8573854812883944	0.7491542926644011	0.8573432281024745	0.8536767424804358	0.5072934546518243	0.5211373478853103	0.3238568218544437	0.5314129824660769	0.49770647323262973	0.3147735968045213	0.3877027321613038	0.38994454422535074	0.38729256764152636	0.38387390849060526	0.5096575667179669	0.3665552760448781	0.4318935509409891	0.3457213297953748	0.5776741803754577	0.472216502755531	0.5959715605804532	0.540541460340645	0.5029714528953855	0.5943122653694536	0.5495120910081237	0.49360521388016915	0.3645537188303315	0.4447855852238483	0.37386839068120525	0.36277271692048874	0.4236101688963009	0.4447855852238483	0.4236101688963009	0.38048448738087376	0.534473251057056	0.5395467782714864	0.4951923373610763	0.5430855116904335	0.4500326362864136	0.36323737372358017	0.5517120810034872	0.3878428343736266	0.19329381390652117	0.17166593690237172	0.18676201188504607	0.21092766511532568	0.18657061331786667	0.1765738487728725	0.19514267713927957	0.191416622285125
GraphST_dlpfc	0.6237594736310423	0.7819301934631397	0.6249903697498572	0.0	0.6502272576100679	0.6865739648987113	0.7337912531178603	0.7159680252410964	0.7781076359252922	0.57319453455989	0.6570447430200819	0.29484208282795693	0.5639170507112778	0.665907253463916	0.6696908304973264	0.6711165544632469	0.6665007978134955	0.6523167959432524	0.6402791776687792	0.5095664474891515	0.5111344806493909	0.3475645000044983	0.4838270206014447	0.4389600403707288	0.32100867833508073	0.36834638939130965	0.32302099956192265	0.32693901125495056	0.3642770812020791	0.5900762425735858	0.4032785103851451	0.3439208905075904	0.4175639605540667	0.7015870258710485	0.47270574994717707	0.6661213988077369	0.6529858990113253	0.42290485387138727	0.767686322265802	0.5629497303414482	0.42184970647174497	0.26314675164463724	0.34205004630215463	0.273524046049876	0.26112337862857643	0.32773110037485353	0.34205004630215463	0.32773110037485353	0.29189444053681735	0.6159418797190735	0.6208418749394989	0.5622638447103847	0.6276110819582698	0.5936555099262465	0.481079484320697	0.6132414608179146	0.526063068374528	0.20249157866680162	0.17691290860942507	0.17981652307590174	0.20785791065601383	0.18611918828139942	0.17769398258123173	0.1921470840058204	0.18899885992020393
GraphST_1	0.6658345042720061	0.6055259639283902	0.8596292403679924	0.6502272576100679	0.0	0.5811101080864202	0.620045686572203	0.594180890569375	0.6219252315901911	0.5567166935265248	0.5451603323620889	0.34272246496961134	0.4944508806843568	0.746569549611164	0.8529208610492242	0.8527569136262076	0.7479400234886272	0.8545107922344327	0.8565926415485774	0.5274454274760964	0.5427849385068777	0.32485708028350707	0.524617424830862	0.4803362136634983	0.30581938439377176	0.3802409073493805	0.3911208371217459	0.3932270075678915	0.37606636364525176	0.5230379701721279	0.3766453930074933	0.4398639896299039	0.35332933680209494	0.5692484125292929	0.4792769380372887	0.5898465816690415	0.5316936510196681	0.5181302148379542	0.5924561363574088	0.541745652773539	0.5060038747570436	0.3521802978304149	0.41996650037546474	0.36158110403385574	0.3509580673751318	0.4017381720767492	0.41996650037546474	0.4017381720767492	0.3691836290098602	0.5400873191599862	0.5539670803840858	0.5007338642063759	0.5535101826345636	0.4685363008637451	0.36193460824087254	0.5613943392071158	0.39563712058662115	0.18911866896004864	0.17202933763440453	0.18441938280573103	0.21055586665410786	0.18433434425265124	0.17753572901059697	0.19484273213438266	0.18854018255250615
SEDR_default	0.5577401270363883	0.6786782387935498	0.5859417290959095	0.6865739648987113	0.5811101080864202	0.0	0.8174419713337813	0.884099806022016	0.8009590003281071	0.6511633686716142	0.7234417907191658	0.3112106174676105	0.6080296016759305	0.5507454027895735	0.6330772240632996	0.6355025420258058	0.5519120810020566	0.6166318594308429	0.6086482110217821	0.6200986435962421	0.6149971930008213	0.4259384644051856	0.5033551318553373	0.4612067753860499	0.3896504394527326	0.375250648856159	0.33292602381369335	0.3445472612697814	0.37226228406847334	0.6447455553009045	0.4033254239577679	0.3056605563572826	0.473831753169666	0.7765340988518745	0.5508356157783701	0.7930991123346212	0.5790778236246626	0.4516350136069915	0.6877343571047518	0.611254987050065	0.44719200552093463	0.28715410391183804	0.3627166347088557	0.2999331310896309	0.28718468167823147	0.33939263108733203	0.3627166347088557	0.33939263108733203	0.31491877547958086	0.6980919146227917	0.7266493999383012	0.6727872448287806	0.7183175473692932	0.6081109592669144	0.577949587782678	0.7484278330902573	0.5671791512332917	0.19265103464272534	0.16441152030982129	0.16812673473375675	0.1891942199233123	0.1691554815760896	0.16195396879838253	0.17831926373576942	0.18625883523250633
SEDR_2	0.5608811760887005	0.6944518838628734	0.6023238536651296	0.7337912531178603	0.620045686572203	0.8174419713337813	0.0	0.8831537396755952	0.7939056276222801	0.616896611117094	0.7187738191351493	0.3122526953613453	0.5656682152887692	0.5563515027238445	0.6429840212767085	0.6440324036485202	0.5574960829712697	0.633209017377596	0.6304170480778805	0.6025390335118358	0.6020578619996432	0.42195749320517173	0.4954192430583047	0.4547805803333427	0.38741633961652994	0.3777773364352712	0.32867732272076655	0.3388471646831196	0.3755820834296343	0.629643111386892	0.3950921562068825	0.30689567036258564	0.47209431789082923	0.7883101774466398	0.5504236739830992	0.775134445793631	0.6196406537379034	0.4517277572958666	0.7219772396147179	0.6098910171577676	0.4487354707877024	0.27959296142353146	0.35670908499001946	0.2922732345211132	0.28002465836411794	0.3315065947226221	0.35670908499001946	0.3315065947226221	0.30414299043644616	0.6774251524797723	0.7143646417813018	0.6347665608311724	0.7052016638120391	0.6069502351926181	0.5430549963092353	0.7121403010011212	0.5855471046754028	0.20537244162621876	0.17167811744130074	0.17617790791995155	0.20231597228512285	0.1777907287299366	0.1710269619656372	0.1868679004999524	0.1935885098294706
SEDR_dlpfc	0.5618615880337086	0.6870996012846149	0.5873256381156542	0.7159680252410964	0.594180890569375	0.884099806022016	0.8831537396755952	0.0	0.8044689686159839	0.6441323847590205	0.7404033696673162	0.3083680146584771	0.5953965838813006	0.5500070134705546	0.6291088401733428	0.6302119182790328	0.5511589511336481	0.6174867078735164	0.6169858666968513	0.6283508818801584	0.623130532114187	0.4351066394689665	0.5117784667279497	0.46820439560828137	0.39701908661396934	0.38167195505307583	0.32816264585974875	0.33839430306887247	0.3780861025170232	0.6586282036392949	0.4158376637215283	0.303224152625932	0.4932503268533878	0.7995908521267265	0.5644403151930651	0.8126727290110818	0.5861723497957113	0.44937955275551034	0.7065173721413436	0.6121520672303475	0.4455267649355374	0.2849683913836598	0.36174478814212907	0.2972846298164711	0.28452461747616975	0.33850926060676795	0.36174478814212907	0.33850926060676795	0.31064584838476583	0.7056550227098529	0.7376350796563703	0.6579731832328793	0.7326482167970475	0.6287486285151135	0.5813317740892614	0.7584965299804038	0.5721468116558202	0.19151630297910816	0.16180909461320186	0.16372732055186334	0.18748284432655446	0.16485775752244075	0.1596736636981052	0.17487133483408876	0.1824871172654546
SEDR_1	0.5802230446599983	0.7448536068186484	0.6177516061700193	0.7781076359252922	0.6219252315901911	0.8009590003281071	0.7939056276222801	0.8044689686159839	0.0	0.5780562936347883	0.7093058020025512	0.2932895391584704	0.5618429858853812	0.6007451902200696	0.6642652798511904	0.6656768728898199	0.6020045608863862	0.6484613821047396	0.6390826380712256	0.552230759362358	0.5560683712816462	0.38975595800937207	0.5126061282908465	0.46728816430077824	0.3540530646101073	0.3504983122493216	0.31867498901846114	0.326876218578718	0.35108976427173394	0.5828623802552587	0.3905364858598097	0.3162154577935113	0.442367753902585	0.7507161182334914	0.5057243824240422	0.730997676753004	0.6006559727761774	0.4283435677541168	0.7413497338406928	0.5944115158289798	0.42751136180248983	0.26034369115930567	0.34589533378772513	0.2715789163722573	0.2604127570175255	0.3199152800198	0.34589533378772513	0.3199152800198	0.2876040228468106	0.6359476442420494	0.6476688212271134	0.5779966643484694	0.6434408327610046	0.5944012675144946	0.5115369329550175	0.6599394159574813	0.5476053316818159	0.1812220173700487	0.15543370133404272	0.1577173836830507	0.18061987363513635	0.16439292914510778	0.15430207189426295	0.1686572976098785	0.173168216121691
STAGATE_starmap	0.549823702878171	0.5476507453450309	0.5511929188816176	0.57319453455989	0.5567166935265248	0.6511633686716142	0.616896611117094	0.6441323847590205	0.5780562936347883	0.0	0.5908590213569868	0.3267054373190899	0.548014014702449	0.5481523160319955	0.6006509442049206	0.6015588177529883	0.5478194713190652	0.601169457116698	0.5920223523830707	0.5698296334341794	0.5686401820635499	0.38768152380091137	0.4661720825907761	0.42626032070519376	0.3557818864111876	0.3579959910984445	0.35710617746051804	0.3673121265104205	0.35344448097383013	0.5701285442950875	0.3446753227696655	0.34069556899454473	0.4212817168025005	0.6231754218001028	0.4788036183315047	0.6303330641879944	0.49816930664838627	0.5360989664263286	0.5507690673312329	0.5003295959505156	0.5272120187157807	0.32213810183620456	0.3907446114548494	0.3341293634347798	0.3168395265118737	0.36802999884531873	0.3907446114548494	0.36802999884531873	0.34841506930856664	0.6215747815753895	0.6178133551921884	0.6804223878822938	0.6241760781065142	0.5054756260293961	0.5144939873091549	0.6930511906418134	0.5765934061717286	0.18065413834243443	0.16063482105328494	0.1531518062383516	0.17733339151215444	0.1573742286543513	0.1570390929342402	0.1701836465827145	0.17308910133010164
