	label	spaGCN_9	spaGCN_6	spaGCN_10	spaGCN_1	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	stardust_2	stardust_3	stardust_1	stardust_4	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_1	bass_4	BayesSpace_1	CellCharter_2	CellCharter_3	CellCharter_1	GraphST_5	GraphST_8	GraphST_9	GraphST_2	GraphST_3	GraphST_6	GraphST_1	GraphST_4	GraphST_7	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	SpaceFlow_4	DRSC_2	DRSC_3	DRSC_1	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_2	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_4	STAGATE_13
label	0.0	0.40487186448573015	0.4165608587559358	0.3936432890541353	0.4112458099617709	0.4360462171719449	0.3967174019673409	0.3890956765089054	0.3956278402830037	0.23635142423443292	0.2803602477506652	0.31048413134066494	0.19827009816528637	0.5087963384697002	0.46830261784520816	0.5004680363716794	0.4783424495477642	0.4237742849120484	0.4680617231056916	0.44244314296716264	0.44658272889921263	0.39917105619869436	0.36977382869673076	0.3170235954578595	0.3802810365621617	0.349331517114412	0.42543498405728397	0.40065842905994087	0.47510424608211116	0.49305513691122266	0.3341544691807182	0.4986636127482929	0.39104650622655107	0.40169075564749684	0.4565331608688295	0.43898923803650924	0.5367894834870804	0.5413041000029526	0.38406678446250664	0.4453915627334821	0.3400326721503161	0.33951191383781987	0.36499100891668135	0.32104018281553987	0.6106976070971852	0.626378666751504	0.5415687680134129	0.6665106257145437	0.5304046861574548	0.5253640106940753	0.5279718896534178	0.5157285079375683	0.5191102132419202	0.5263024657821995	0.3998763273553973	0.31496689484369234	0.3499811943253828	0.49029935191672214	0.3482062530560139	0.5988891708302249	0.4064460963141829	0.38714787219557956
spaGCN_9	0.40487186448573015	0.0	0.36355339579453577	0.7140300864011659	0.3771344924721661	0.3860313288180373	0.3599327564650976	0.659162294201761	0.8797685064974602	0.201961384171082	0.2393815763996389	0.24783054472554716	0.1765008996113874	0.43906757195704027	0.40214090348675285	0.46007273501888574	0.4025861053210643	0.41846432891629853	0.40564863466730255	0.41234990997471577	0.3740779834371942	0.3087562289226543	0.35932179943017734	0.3205227886039883	0.3753376810842277	0.2437950749930352	0.31734746396527375	0.29370336293949384	0.3439116769109799	0.4001383573278956	0.22508090929095362	0.38707564661234745	0.2720980830848878	0.2883857111392284	0.40367327636211214	0.38455912512490165	0.436737633351078	0.39904174149450217	0.3292947532442246	0.32689825469445233	0.33291986420176445	0.29422847738183694	0.3458813572511423	0.2734479685922555	0.41114351473429556	0.42277986580219873	0.3501362829171457	0.43513106066206686	0.34810182246504723	0.34438008090457506	0.3468360846524912	0.3389565649533597	0.380100706097833	0.3887470169192579	0.3561445536453304	0.2706293196992182	0.28558035745688465	0.37224399235645	0.2709806640873547	0.40109001689818646	0.37720365707659775	0.2936503281761335
spaGCN_6	0.4165608587559358	0.36355339579453577	0.0	0.39383234304074777	0.6905566889594589	0.9092239940200497	0.7359969568309614	0.41201374436805444	0.38094857801681903	0.38646537027672295	0.40636306554825785	0.40201863326848475	0.33027053189426697	0.3348989369224822	0.349312223910142	0.3462621216294216	0.4252366311473329	0.41541889873170457	0.42693693641968283	0.4135721744653379	0.4145429882097347	0.23583617862408374	0.4537809746790066	0.4592114160385725	0.4669013745241156	0.34348284552253233	0.4085918484168196	0.37799888960567624	0.3887694056920522	0.37262516490313774	0.26710404791645737	0.41388415547996144	0.3584885762853444	0.3230780543215657	0.41800574916558986	0.3990093904286654	0.45094334451860024	0.4411265015874159	0.35521719444984334	0.4092527659304852	0.36415251715421104	0.4678070359958589	0.36027205040996935	0.4001552275975087	0.38339759066758183	0.41910882036386526	0.39854299613943905	0.43569314241043017	0.3908252948770755	0.3889999525254473	0.39209766468953194	0.3839348724245054	0.46985435847635615	0.46329708082995497	0.42079205856984464	0.3506273385793948	0.3887300078772257	0.38442111504855664	0.42616287562444904	0.39361619515910784	0.3760707759292561	0.36749561241177403
spaGCN_10	0.3936432890541353	0.7140300864011659	0.39383234304074777	0.0	0.3860192833316189	0.4047581666311967	0.376957206048739	0.9010847806197679	0.6917285493270594	0.21326887941812778	0.24147178965456909	0.25024936932101377	0.18959932925237555	0.4058052151441223	0.4005467413476158	0.4219372484246102	0.399932824441104	0.40133344182939046	0.38728102240431156	0.39869172848959544	0.369024883512398	0.32135707058333124	0.3917955297071648	0.3496177113864601	0.42263596969522227	0.25966457385168645	0.3450679062872624	0.30576564352947133	0.34077691457750336	0.3850814493371564	0.22814510656413386	0.38815806371521455	0.2898480535480115	0.2888045895789507	0.40084287117311634	0.402749485707023	0.41748571761462633	0.40301599713006364	0.34604716756541926	0.36327529302162354	0.3481413256521076	0.333379057687838	0.36760683382477594	0.3127072613561178	0.3969244603551098	0.40167803690888265	0.36660509362287397	0.42683144453096683	0.33804284567523046	0.3347350629010454	0.3371062638715862	0.3295035664199364	0.4032520056328821	0.4064867678549428	0.3618105424560125	0.31092838785980054	0.33286194569224675	0.3449441588788536	0.3006391373334155	0.38795492982159047	0.38188396346578557	0.32047224271258967
spaGCN_1	0.4112458099617709	0.3771344924721661	0.6905566889594589	0.3860192833316189	0.0	0.7280223947521263	0.8745334994335925	0.37034141724646763	0.3689427145341113	0.37942617808935686	0.42112737249324794	0.42329204706386425	0.31319277197479223	0.34677375572238844	0.3548446183097053	0.3609712002410435	0.3881448337038921	0.4035776959855182	0.38742940131148124	0.39214614485269605	0.38972884988560663	0.24512290902153105	0.42022875622980055	0.41340359356022477	0.4295344118646221	0.2879832482955104	0.3524831271963212	0.3200264095289803	0.37965493114404225	0.3928362349684441	0.270448804324817	0.3956449605130677	0.31526950484922134	0.3245166770200909	0.3910650765281657	0.37650729503956043	0.42529625818421984	0.4185796217114173	0.33487218803260965	0.3811487113406433	0.3221525816799386	0.4175874488078173	0.3252961191242802	0.3471476593998031	0.39793886751957336	0.42263959030874865	0.38177169246884546	0.4253241310864388	0.4014038822562908	0.3993538892798821	0.4025891378371758	0.3928526021556954	0.41308381035025404	0.4135090463108572	0.406232769017731	0.30217960998346416	0.3670541184052831	0.39309314504478765	0.39046741273147173	0.4140512033115452	0.3587381138237433	0.3288761102232349
spaGCN_4	0.4360462171719449	0.3860313288180373	0.9092239940200497	0.4047581666311967	0.7280223947521263	0.0	0.7027784106865127	0.39419397340833884	0.37624667895985064	0.36379734988917567	0.4048104698103207	0.40022312104206903	0.3093687809430902	0.34716791405783615	0.36134886923021675	0.3586048855865291	0.4092754188976173	0.4000835801668644	0.40887388244740513	0.40190770441261614	0.40623575006823487	0.23240085674699779	0.44401581899502995	0.4435455986377027	0.46121113841130024	0.3215231860822335	0.38419554841021364	0.3552495003890949	0.3908407737609988	0.38148644813557725	0.24844715497054792	0.4202247222001615	0.3370147005688301	0.30252412241341514	0.40919993020919804	0.39420752952354	0.46220252079349616	0.43946745806811893	0.34018985757923165	0.387488509484147	0.348758484876227	0.4349547556169731	0.34702392885245964	0.36983330662810177	0.39193905098990744	0.42656720943764803	0.4077673166982486	0.4403995418213242	0.4157926877631384	0.41359382052020793	0.4166753817623129	0.40212260088373847	0.4577618073799567	0.45613099812973373	0.41402043057559723	0.33040541596791045	0.3798778673193465	0.3910665962126044	0.40113850214958197	0.4143705583570108	0.36143414608724306	0.34780315548941276
spaGCN_7	0.3967174019673409	0.3599327564650976	0.7359969568309614	0.376957206048739	0.8745334994335925	0.7027784106865127	0.0	0.3943532333741335	0.3765315386168112	0.40465078519338127	0.42238052292850914	0.42413040707314853	0.33421696456516814	0.32784594002672757	0.3374637871758328	0.3423018601810089	0.40756083054253156	0.4207082975831174	0.40590472181106124	0.4111094967489977	0.40407065577589935	0.2498519141387491	0.43139535384443795	0.4335554619057506	0.43834816084045203	0.31015631670431504	0.3800572662352125	0.34392547299778115	0.37339367132617	0.3882637823474857	0.2954984682660011	0.3890942172516661	0.3390322072046274	0.35571931892095304	0.3978485022956824	0.38550895700588045	0.41388070801530813	0.41914100739177934	0.3488907736813674	0.4091755251991632	0.3366039634817276	0.460886850146101	0.3410095026127296	0.3855474498630535	0.392886869898986	0.4205900522341509	0.37579499254812	0.42359964796360144	0.37326968966109003	0.37036542123349275	0.3735473016716932	0.36819528473662555	0.41497575977819906	0.41404553706034847	0.4152740730543287	0.3251661882280479	0.38700612820547986	0.3795312289105604	0.4261596856793703	0.3888700258519884	0.37768379169432253	0.352985737880745
spaGCN_14	0.3890956765089054	0.659162294201761	0.41201374436805444	0.9010847806197679	0.37034141724646763	0.39419397340833884	0.3943532333741335	0.0	0.7174094692842061	0.21977943286950472	0.2383499672555956	0.24332092997659208	0.19634438891059677	0.4025642961531515	0.3933078336252703	0.4197017887925078	0.4375546176671291	0.4387036773441979	0.42242871366063417	0.4331333743075423	0.40215125910299815	0.32482623546792166	0.4065712933114842	0.37131624648854267	0.43540174462255044	0.2854137983919769	0.3756892405044132	0.3274382159176935	0.3455391564533111	0.38553449425884795	0.25181419480556855	0.3881728526609783	0.3173875956918338	0.3199967515482352	0.4139956771109378	0.42114333940660065	0.4143482585890301	0.4076188157286612	0.3725924217592202	0.3937427587331037	0.37327208179790716	0.3598676548902405	0.39131706490322227	0.3405108510107769	0.3938008154297287	0.4006392309796226	0.3598214436772904	0.4263049447311165	0.3261701404814556	0.3223874505734282	0.32471688707617136	0.3164665961490906	0.4146231881471715	0.4150559553687324	0.3689961232387484	0.34323791704664264	0.3467652333835334	0.3406509755653199	0.32041541071646273	0.3826310541948029	0.4144788322732682	0.3493990222496168
spaGCN_13	0.3956278402830037	0.8797685064974602	0.38094857801681903	0.6917285493270594	0.3689427145341113	0.37624667895985064	0.3765315386168112	0.7174094692842061	0.0	0.20870036564499156	0.2336030715042263	0.24000563783283074	0.18040264032598838	0.43105627314599304	0.3955974204502239	0.4516132583619497	0.43622650540216085	0.45666968490993554	0.43364725810517357	0.449237614703028	0.40857911413360853	0.3163902431585618	0.37118432049548433	0.34026005055785685	0.3890568229794048	0.2712581835953446	0.3565297576661741	0.3209555229275129	0.3512383863561626	0.40988670576311426	0.2428147624302092	0.38737124392090755	0.30681499309929955	0.31624933903054914	0.4323451755113288	0.4156316822135456	0.4388880818566989	0.4018434095843564	0.3600182292894592	0.34782418520950165	0.3683244286374343	0.31747130719515665	0.37878208134748376	0.29673810873933665	0.4116980308323262	0.42305371522889446	0.3496387046427997	0.43437346011299605	0.3348767419167396	0.33122232009617125	0.33361910771349057	0.3266384800646081	0.40742112795847557	0.41313045876051147	0.3681988255402609	0.2977446383049882	0.3031727677298397	0.36855858542723874	0.28923244651972785	0.39740771007255216	0.4072048331731755	0.3271557633117441
stardust_2	0.23635142423443292	0.201961384171082	0.38646537027672295	0.21326887941812778	0.37942617808935686	0.36379734988917567	0.40465078519338127	0.21977943286950472	0.20870036564499156	0.0	0.6436674986381267	0.5010348706557688	0.7077994048836721	0.1956425832199446	0.18814201661174806	0.19955845608176237	0.25377098826442396	0.2486213485795127	0.2520429013847655	0.22412118859674166	0.23487875614215958	0.20616635507299758	0.3030862431598271	0.3359506713497539	0.2998336053215503	0.282694887878505	0.2426083458568038	0.23605440229309235	0.20097136364354576	0.2418994762914147	0.25823229557087757	0.2119466039162164	0.2697949582789034	0.26316496507612475	0.21095244275688715	0.21245861159622342	0.24927400447565592	0.23570154353034697	0.222808498532435	0.2585531278911592	0.18956864506998203	0.3006906600861636	0.18995214060417362	0.3280400777389538	0.24151981552423918	0.25227601539770966	0.26470337658482535	0.2590530538883591	0.2234186913524203	0.22431036207187072	0.22600158936483727	0.21470159315685863	0.2645981424979505	0.2593482833955557	0.2545946387071422	0.25713819300308494	0.24592685787456808	0.2156515283676428	0.2988906445853436	0.24249010695807688	0.2136235249913964	0.22762286597689713
