	label	SEDR_default	SEDR_2	SEDR_dlpfc	SEDR_1	STAGATE_starmap	STAGATE_default	STAGATE_slide_stereo	STAGATE_1	bass_starmap	bass_default	bass_dlpfc	bass_1	spaGCN_default	spaGCN_2	spaGCN_3	spaGCN_1	SpaceFlow_default	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	DRSC_default	DRSC_FindSVGs	DRSC_all_genes	DRSC_FindVariableFeatures	precast_default	precast_dlpfc	precast_1	precast_BC	seurat-louvain_louvain_3	seurat-leiden_leiden_4	seurat-leiden_leiden_1	seurat-louvain_louvain_1	seurat-louvain_louvain_4	seurat-leiden_leiden_2	seurat-louvain_louvain_2	seurat-leiden_leiden_3	CellCharter_default	CellCharter_2	CellCharter_dlpfc	CellCharter_1	BANKSY_starmap	BANKSY_default	BANKSY_github	BANKSY_dlpfc	scanpy-louvain_louvain_3	scanpy-leiden_leiden_4	scanpy-leiden_leiden_1	scanpy-louvain_louvain_1	scanpy-louvain_louvain_4	scanpy-leiden_leiden_2	scanpy-louvain_louvain_2	scanpy-leiden_leiden_3
label	0.0	0.42940719654396664	0.6420764618087095	0.514984595967269	0.48673018491467657	0.46715893489693855	0.5288614076647544	0.33754922766816914	0.6234625819262823	0.5322943721894665	0.4753833341670853	0.7070231871844163	0.6494183331392767	0.2913362101917085	0.2903242958104074	0.2903242958104074	0.2913362101917085	0.5878085804612062	0.623428622251068	0.6259158682995973	0.5861698923401457	0.272828020797146	0.214680037287492	0.272828020797146	0.24246979263441115	0.2785390109814058	0.2676049910225129	0.14193550434173738	0.2676049910225129	0.20171544136511146	0.207416260956508	0.21052379228310236	0.20260445580256511	0.2461345561232522	0.207416260956508	0.2461345561232522	0.20668687688952875	0.6262749577970842	0.4668565569133315	0.4712067862738175	0.5071832015965213	0.642669747522947	0.6122180661221741	0.5999488447092232	0.6122593779573426	0.25260230302722964	0.3071834293990072	0.2470977353827446	0.27308082051256993	0.26002320119052247	0.2531259846199089	0.2582414107306508	0.27301031569839124
SEDR_default	0.42940719654396664	0.0	0.4844686922963818	0.5087342224455901	0.6634040592636956	0.4011516134438531	0.5552326143062241	0.4335645370884534	0.46112545359765006	0.44201824444089793	0.44939390469848245	0.5068096028975333	0.5187676459564785	0.43361567354431757	0.4336203065628772	0.4336203065628772	0.43361567354431757	0.43784355342796916	0.483529989994404	0.4814997459743597	0.43157270725980784	0.3992976780131269	0.325154220617139	0.3992976780131269	0.36132254327697794	0.41488679724376853	0.40133496900408994	0.23868888141313668	0.40133496900408994	0.30014194524169574	0.3399064183909437	0.3358277339254743	0.300223709272642	0.31665858889728105	0.3399064183909437	0.31665858889728105	0.3301418748575705	0.49577604629368416	0.36213300101502655	0.5370473319250749	0.3947558312282162	0.40688924044613695	0.42622438589007944	0.42601369633473213	0.41157696343165967	0.4010637897091551	0.40028525651973323	0.4030685888759898	0.41010248396280785	0.34449237501569335	0.3467662914255039	0.3432864555842782	0.4132808980995737
SEDR_2	0.6420764618087095	0.4844686922963818	0.0	0.5825168722460818	0.5517551655239624	0.46282572949461404	0.5548153863832338	0.2984582263007442	0.5426393948553419	0.523842818119485	0.46432179074737606	0.693068354574686	0.6546576670683931	0.26986803676087534	0.26949151174603003	0.26949151174603003	0.26986803676087534	0.5372183822604099	0.6298130253473038	0.6282195947457753	0.5244503240355203	0.24799473060626523	0.19434174257982892	0.24799473060626523	0.22627664883164356	0.25695822227286436	0.24650958792155828	0.1329669347649863	0.24650958792155828	0.18034434371676297	0.18173726606902518	0.1812371562969191	0.18097557071240003	0.2207235434067963	0.18173726606902518	0.2207235434067963	0.18032640818450432	0.5976811586164625	0.3977683212311904	0.4549121928249579	0.4583243735897614	0.5789861433209206	0.5821598093949384	0.581687789693216	0.5737169422647426	0.2193630199542886	0.27741963497806094	0.21555848603793287	0.2444522485465998	0.23000376752031396	0.22540452747156875	0.22894894732673818	0.24549516652160053
SEDR_dlpfc	0.514984595967269	0.5087342224455901	0.5825168722460818	0.0	0.5814047149156766	0.38570391628440015	0.45133574134731574	0.32490142609893813	0.42945624432422486	0.4518774645867321	0.3813195152066647	0.6239269324013419	0.5839038915936156	0.3022399931078161	0.3045209493357927	0.3045209493357927	0.3022399931078161	0.409303076976777	0.48375908558853764	0.4812529699368173	0.39834384382322585	0.278099547238969	0.2272980808929337	0.278099547238969	0.2524488566097761	0.30218964087140765	0.2891918398457659	0.15764357340514473	0.2891918398457659	0.19213727107412143	0.21635793439174725	0.21372139409419785	0.19266534430309218	0.19664438961829916	0.21635793439174725	0.19664438961829916	0.21460706552383665	0.44463314378569896	0.313847751027651	0.34801553494362464	0.3456017593885411	0.4061895120443113	0.4247879035158608	0.42712372464700804	0.4156781509155177	0.2828363522692545	0.2749352816432284	0.28431447272587623	0.2917812123129118	0.22207236400816494	0.2229193186159519	0.2213385605797116	0.2893064652228533
SEDR_1	0.48673018491467657	0.6634040592636956	0.5517551655239624	0.5814047149156766	0.0	0.4747384418037487	0.6772376670211906	0.35870356680825366	0.5334525766948527	0.5325975401849642	0.5360056172577199	0.5802820176851199	0.5714798513298724	0.33779462586157566	0.33628265581558864	0.33628265581558864	0.33779462586157566	0.46699625250817567	0.5342850984298774	0.5292751154371448	0.45103999328599975	0.30077514964180874	0.2451977779079978	0.30077514964180874	0.2735211096099569	0.31853054933586156	0.30617960945708467	0.1879712481215221	0.30617960945708467	0.21390540335719052	0.24024917141874091	0.2417576784032751	0.2142837402127287	0.2267016495531521	0.24024917141874091	0.2267016495531521	0.24050047659049337	0.5717761847081444	0.423373586552398	0.4687124124245458	0.4816848690967402	0.45500318591703276	0.49558343636087754	0.5006806117306796	0.4797892426868744	0.28017721277335356	0.28310860548900485	0.275612888669865	0.3092200299921105	0.24025727706756453	0.23542250804533205	0.23936828755402667	0.30906252052495575
STAGATE_starmap	0.46715893489693855	0.4011516134438531	0.46282572949461404	0.38570391628440015	0.4747384418037487	0.0	0.5824150986112003	0.24683200855501433	0.6157413526939852	0.49649568626209245	0.38336880170732845	0.49782370832367917	0.48597791273745217	0.20279702083833392	0.20278445344663265	0.20278445344663265	0.20279702083833392	0.5375869648985976	0.5531969818401666	0.555158332804986	0.5478553754013005	0.19036923726829613	0.18267031296278735	0.19036923726829613	0.16540501060369467	0.19078696963340774	0.18213966313523014	0.09430657329522206	0.18213966313523014	0.14929381689970658	0.14477995535513127	0.14471209995115375	0.14968720989586715	0.18309163914625848	0.14477995535513127	0.18309163914625848	0.1384190526987349	0.5129395172816424	0.4972100657414744	0.5037126663696909	0.44946892438184344	0.5439408741000655	0.5596353426500543	0.5324399411688668	0.5624950183829696	0.20579156308256025	0.25815321516167783	0.20507822702450448	0.1980459456163362	0.20823705194512312	0.20870896061689168	0.20610912737744716	0.19884218526834876
STAGATE_default	0.5288614076647544	0.5552326143062241	0.5548153863832338	0.45133574134731574	0.6772376670211906	0.5824150986112003	0.0	0.3406891089263003	0.6762545747236162	0.5394466211732568	0.5310085594152554	0.6220050272714437	0.6164931215832223	0.3135721448900738	0.3122946338526453	0.3122946338526453	0.3135721448900738	0.5725019782349893	0.6193284978131939	0.6170126340481908	0.5615925401472015	0.2826484939082041	0.22431456156769616	0.2826484939082041	0.24748925739334682	0.2900100087913377	0.27983039481231387	0.16005910115113534	0.27983039481231387	0.22193025507760303	0.21761643874180603	0.21845131858210973	0.22236023329367305	0.261501044557303	0.21761643874180603	0.261501044557303	0.21478874693808747	0.6329811133424634	0.49037474879010773	0.5104575596708002	0.5126862595378638	0.5537828529918885	0.597258776177594	0.5918246465141478	0.58243105376255	0.2544330808033429	0.3100678288573742	0.24793920304232403	0.2824148162595614	0.2637154689366829	0.25621816709672657	0.261825495185864	0.2824509941056422
STAGATE_slide_stereo	0.33754922766816914	0.4335645370884534	0.2984582263007442	0.32490142609893813	0.35870356680825366	0.24683200855501433	0.3406891089263003	0.0	0.3910641653835198	0.3948310392985198	0.35075118319082416	0.34536187843222504	0.3597769130406122	0.7251382594494085	0.7252006940650536	0.7252006940650536	0.7251382594494085	0.263875939845458	0.25286118239614663	0.25204286378968405	0.2645473372337636	0.6008933768172595	0.556640918373714	0.6008933768172595	0.576478709947814	0.6203968846553349	0.6070789997242273	0.41538755526155835	0.6070789997242273	0.5402561126545425	0.6216627684878373	0.6086417166624108	0.5417433060912253	0.5673636971914796	0.6216627684878373	0.5673636971914796	0.5937054022161994	0.28354927422736637	0.27376192210670497	0.3388539541021048	0.25908740405636815	0.3114036115396516	0.3323137988001105	0.3415237652258853	0.33256506834861266	0.6156985615725911	0.6051227663095243	0.6184869597862169	0.6818149388579066	0.540704674311879	0.5361005087791131	0.539070149548083	0.7078039403744029
STAGATE_1	0.6234625819262823	0.46112545359765006	0.5426393948553419	0.42945624432422486	0.5334525766948527	0.6157413526939852	0.6762545747236162	0.3910641653835198	0.0	0.5565846657859075	0.4875770374008844	0.6036076798332863	0.5795139082254813	0.3374154309868231	0.33632907012149554	0.33632907012149554	0.3374154309868231	0.5787547250295847	0.5759198371709625	0.5777834018607293	0.5872222639056175	0.3073473804347293	0.24846670700915668	0.3073473804347293	0.2704144485173823	0.3139076048227278	0.30206344335820684	0.16714112002176967	0.30206344335820684	0.25049760960479245	0.2505328355628934	0.25284054645375087	0.2514018849331322	0.28781469681678246	0.2505328355628934	0.28781469681678246	0.24739104150948155	0.5659705659493256	0.5010632536693919	0.47500003211359976	0.46008007914026194	0.6558321672598202	0.699524787794068	0.6578102039364737	0.6647404454037618	0.3154476599640664	0.3718235306399659	0.3128184914219344	0.3180268324114969	0.31503015008050117	0.31305844840597874	0.3131810371217415	0.31972423492907465
bass_starmap	0.5322943721894665	0.44201824444089793	0.523842818119485	0.4518774645867321	0.5325975401849642	0.49649568626209245	0.5394466211732568	0.3948310392985198	0.5565846657859075	0.0	0.6045420334366537	0.6040475025310551	0.5884695603757073	0.36043454080354076	0.3590476741103851	0.3590476741103851	0.36043454080354076	0.525529608578948	0.5159735941562312	0.5128036005721636	0.5316935211106267	0.3269131095292347	0.32293232768946994	0.3269131095292347	0.3063990641925957	0.3396842084313554	0.3274513521776221	0.19944250678010583	0.3274513521776221	0.24402897894004033	0.25688407431014804	0.2599884090073005	0.24510205053350975	0.2859208090100605	0.25688407431014804	0.2859208090100605	0.2579076242002707	0.5215350840389855	0.4706146907243762	0.44058191918977574	0.44735039312975605	0.508886097363836	0.5495232178180991	0.549737297703515	0.5310285280614256	0.291146553072198	0.33464875394540555	0.28173749581742213	0.32944880568874213	0.2901229224573122	0.27822371427060794	0.2889962887964991	0.32857714813784045
