	label	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	CellCharter_2	CellCharter_3	CellCharter_1	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	SpaceFlow_4	STAGATE_12	STAGATE_11	STAGATE_10	STAGATE_13
label	0.0	0.18311026824525867	0.16839415124650498	0.16827582768312455	0.18603038550161946	0.17298211686705903	0.14650782423656336	0.14757310537789387	0.09330959631286033	0.09191246481632417	0.10785150106925182	0.07197769410374161	0.055311984017992914	0.08207186403624098	0.07261086381093179	0.09865644371938906	0.09532265746509126	0.07633183894817087	0.10247182532895516
spaGCN_4	0.18311026824525867	0.0	0.42144013901127636	0.413028761194989	0.3501885111310393	0.22535409002228912	0.25278906393892475	0.24294511147387665	0.19607435850478894	0.1877998119553285	0.21478849384435497	0.17504994469479226	0.14108324148939838	0.20339177420296942	0.1679276121983935	0.17474560225031208	0.20607867602217864	0.16764923773511836	0.17471021109939588
spaGCN_7	0.16839415124650498	0.42144013901127636	0.0	0.4028434725520334	0.4323856064823619	0.2884852539186034	0.3427152747830949	0.3170843045842549	0.14336112391866077	0.17125813167206702	0.17999281675016524	0.1872150436439592	0.1749999198542542	0.2158787257679604	0.20221630869872453	0.12680739364055238	0.14909109344113133	0.12151653741885891	0.1271767924662297
spaGCN_14	0.16827582768312455	0.413028761194989	0.4028434725520334	0.0	0.60077246146754	0.28363464147343415	0.23377438333966466	0.2591490586028199	0.1856357219667837	0.16280838952903495	0.20550273051928528	0.18695886139814127	0.15953469329817593	0.200390586176514	0.17445822422657423	0.18135699867805075	0.18748167097712795	0.14187836158298547	0.17612681435749697
spaGCN_13	0.18603038550161946	0.3501885111310393	0.4323856064823619	0.60077246146754	0.0	0.34379567816490536	0.28376681011878474	0.304945095262553	0.13799805303837837	0.12430049576513227	0.16986813114177318	0.17715302863993224	0.15366463686174472	0.19145713550607596	0.17679861894777513	0.12489686428653773	0.13778764349212	0.10667099174389992	0.12303688130783881
scanpy_2	0.17298211686705903	0.22535409002228912	0.2884852539186034	0.28363464147343415	0.34379567816490536	0.0	0.6622530980330892	0.6873568581613685	0.10695896220643732	0.11658220309407175	0.14587558551145563	0.3057357420400691	0.2671916971229493	0.2939496951149896	0.29722636912379946	0.09310375854995917	0.1051914132015056	0.09289614380621594	0.09376828296730505
scanpy_3	0.14650782423656336	0.25278906393892475	0.3427152747830949	0.23377438333966466	0.28376681011878474	0.6622530980330892	0.0	0.7163238382766063	0.13298088118684803	0.17372407802358386	0.17283164461123565	0.32724822703774065	0.28668231701476443	0.3320985441914746	0.3150339837262169	0.11348652252746806	0.13621151767693981	0.12619355968544826	0.11581441867833747
scanpy_1	0.14757310537789387	0.24294511147387665	0.3170843045842549	0.2591490586028199	0.304945095262553	0.6873568581613685	0.7163238382766063	0.0	0.11518028079250181	0.1515529049388441	0.1551568370167689	0.37130894851654894	0.3208075435706413	0.35097741128493665	0.36586203309352355	0.10052976271792335	0.11761193200119895	0.10415121452313514	0.10228967775427923
CellCharter_2	0.09330959631286033	0.19607435850478894	0.14336112391866077	0.1856357219667837	0.13799805303837837	0.10695896220643732	0.13298088118684803	0.11518028079250181	0.0	0.4911844804270073	0.6866949307433455	0.20131916220429513	0.1507056490482896	0.2154408628998654	0.15556628601908573	0.4693592815160746	0.5730437989230399	0.42083211244500107	0.4993300249716039
CellCharter_3	0.09191246481632417	0.1877998119553285	0.17125813167206702	0.16280838952903495	0.12430049576513227	0.11658220309407175	0.17372407802358386	0.1515529049388441	0.4911844804270073	0.0	0.4612379462335078	0.1936752074903265	0.15509412514218301	0.22153491247898058	0.1652368667652376	0.4282589026013128	0.514917472359659	0.43085867407839684	0.46097016319439543
CellCharter_1	0.10785150106925182	0.21478849384435497	0.17999281675016524	0.20550273051928528	0.16986813114177318	0.14587558551145563	0.17283164461123565	0.1551568370167689	0.6866949307433455	0.4612379462335078	0.0	0.23609362384760707	0.18709517462637743	0.24915040691049367	0.1852575997111359	0.4335752405042442	0.5044213064702535	0.4025293298410492	0.4574647688673861
SpaceFlow_2	0.07197769410374161	0.17504994469479226	0.1872150436439592	0.18695886139814127	0.17715302863993224	0.3057357420400691	0.32724822703774065	0.37130894851654894	0.20131916220429513	0.1936752074903265	0.23609362384760707	0.0	0.5969925284637588	0.7657888708135808	0.6171471635858649	0.206878222246715	0.1868935695297054	0.16148774462600454	0.20874515946621117
SpaceFlow_3	0.055311984017992914	0.14108324148939838	0.1749999198542542	0.15953469329817593	0.15366463686174472	0.2671916971229493	0.28668231701476443	0.3208075435706413	0.1507056490482896	0.15509412514218301	0.18709517462637743	0.5969925284637588	0.0	0.5148867040509084	0.5686157732454197	0.16439500836421553	0.14263757213492811	0.13460158913168724	0.16497284662433354
SpaceFlow_1	0.08207186403624098	0.20339177420296942	0.2158787257679604	0.200390586176514	0.19145713550607596	0.2939496951149896	0.3320985441914746	0.35097741128493665	0.2154408628998654	0.22153491247898058	0.24915040691049367	0.7657888708135808	0.5148867040509084	0.0	0.5699435188200241	0.21063137382095323	0.2017655220288932	0.16878906740648977	0.212728820350388
SpaceFlow_4	0.07261086381093179	0.1679276121983935	0.20221630869872453	0.17445822422657423	0.17679861894777513	0.29722636912379946	0.3150339837262169	0.36586203309352355	0.15556628601908573	0.1652368667652376	0.1852575997111359	0.6171471635858649	0.5686157732454197	0.5699435188200241	0.0	0.1585720394119693	0.14894813323622055	0.13572699689524056	0.1622378865154192
STAGATE_12	0.09865644371938906	0.17474560225031208	0.12680739364055238	0.18135699867805075	0.12489686428653773	0.09310375854995917	0.11348652252746806	0.10052976271792335	0.4693592815160746	0.4282589026013128	0.4335752405042442	0.206878222246715	0.16439500836421553	0.21063137382095323	0.1585720394119693	0.0	0.5422421145803498	0.46037053556669055	0.7558151378227088
STAGATE_11	0.09532265746509126	0.20607867602217864	0.14909109344113133	0.18748167097712795	0.13778764349212	0.1051914132015056	0.13621151767693981	0.11761193200119895	0.5730437989230399	0.514917472359659	0.5044213064702535	0.1868935695297054	0.14263757213492811	0.2017655220288932	0.14894813323622055	0.5422421145803498	0.0	0.4649364419260502	0.620444492797928
STAGATE_10	0.07633183894817087	0.16764923773511836	0.12151653741885891	0.14187836158298547	0.10667099174389992	0.09289614380621594	0.12619355968544826	0.10415121452313514	0.42083211244500107	0.43085867407839684	0.4025293298410492	0.16148774462600454	0.13460158913168724	0.16878906740648977	0.13572699689524056	0.46037053556669055	0.4649364419260502	0.0	0.45195568468149006
