	label	spaGCN_9	spaGCN_6	spaGCN_10	spaGCN_1	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	stardust_2	stardust_3	stardust_1	stardust_4	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_1	bass_4	BayesSpace_1	CellCharter_2	CellCharter_3	CellCharter_1	GraphST_5	GraphST_8	GraphST_9	GraphST_2	GraphST_3	GraphST_6	GraphST_1	GraphST_4	GraphST_7	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	SpaceFlow_4	DRSC_2	DRSC_3	DRSC_1	DRSC_4	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_2	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_4	STAGATE_13
label	0.0	0.4538057269359933	0.3345936076058766	0.4549062337511765	0.40402490960803805	0.3526167838130664	0.38310658818728566	0.4404188167567235	0.43878959957696745	0.07894132442800705	0.14746193492772372	0.21928961784322915	0.07387836591893122	0.3716960642745246	0.37119364589789766	0.3709371341164089	0.33606451097892853	0.41530409453025247	0.33917941031405374	0.3386492170235156	0.37094976590012635	0.13799752590182884	0.2666338656695997	0.32812750338502744	0.29194515631546936	0.1827284755271887	0.3107677466935294	0.33360702732109737	0.6672903080212857	0.3848313832238721	0.026198365053115222	0.6674387629174631	0.12836159547170362	0.12278229085612445	0.3263251475437563	0.18556644426652524	0.16774799870499563	0.18249866222565536	0.2864185835204065	0.24854393018521476	0.20832582739556557	0.22326569930243806	0.22225777820065393	0.2179920595122145	0.4091803350913931	0.528259930582648	0.47238410699143996	0.5796431382546798	0.39347004902357774	0.4111654090959735	0.2089640319569308	0.21019803061986989	0.178794930286107	0.36128030165386193	0.33993187974210093	0.5235103919729845	0.2753333598686072	0.5299414676624129	0.3289933355348882	0.17077886332821773
spaGCN_9	0.4538057269359933	0.0	0.2825679653399249	0.7481394051431869	0.38918047292564084	0.28749775025081353	0.37455317418009837	0.6600204311426118	0.8306353920554042	0.07489826153254633	0.157650478900277	0.2662107863561233	0.06929195546949059	0.35523179994281207	0.36186398325816677	0.36678449308502253	0.2828994941664726	0.3569035179368642	0.2915109687336274	0.2739724046230336	0.21661030822605845	0.17151304064691564	0.2147364122806385	0.2525572316673327	0.20614350633602163	0.1586525755680933	0.2701163214899033	0.2852097409305179	0.4529130249435117	0.23711830568771447	-0.0011154597726225058	0.46307150139506664	0.12245919387323818	0.07125773019293745	0.26304273535618816	0.13432161442360716	0.15217742711640544	0.1515436360687873	0.22611733441726872	0.21904535805386444	0.1992553985555511	0.1561390502903895	0.20779429501936525	0.18657985324930157	0.39191480885138746	0.41174804926521086	0.35393725842038587	0.5064736064235135	0.2705191502433759	0.3339896384359531	0.17558643791383632	0.1709151398433262	0.14314939468771637	0.33593393717888004	0.25181652023657675	0.4148509114027296	0.20914179958600235	0.49998670895113656	0.2596006624288373	0.16621762578659538
spaGCN_6	0.3345936076058766	0.2825679653399249	0.0	0.32425393424932714	0.5399684113959237	0.9308514944980192	0.6313869891465497	0.36195203639467366	0.3100152910312042	0.18390356902986665	0.16485442527372435	0.235911879034169	0.17263754602496248	0.17842801918399942	0.17689936253256683	0.1787421709053265	0.350815423363073	0.28006114275151833	0.2819076118870149	0.23346663974714882	0.3226763947841352	0.09304408896592713	0.29787428756877904	0.36499779292903983	0.3821704880816618	0.17676352891668107	0.2946100193469322	0.3095093880106722	0.3640739886440715	0.24480140495980418	0.049764741835904416	0.3579101335302656	0.1207084341487799	0.1370020835696326	0.3556343381770948	0.24878630223101647	0.2628417873112647	0.2511517051231097	0.3437427749477099	0.38884245211965573	0.1720950735009944	0.17634946802525978	0.17521739668270017	0.16958001232487122	0.29142236904448715	0.31478486870387884	0.31288258923407114	0.30309537517659146	0.2485728707190846	0.25286476935430113	0.2725724754123425	0.26049592302681557	0.24417522922252927	0.28574042136456296	0.2744929240034315	0.31888631521456934	0.22656040879233036	0.28461560701150496	0.24538236224119725	0.2496788574119785
spaGCN_10	0.4549062337511765	0.7481394051431869	0.32425393424932714	0.0	0.39131110445957723	0.3319612062029209	0.3850593790324244	0.8499509983998291	0.6959226541351107	0.08296199116968712	0.15554382884919085	0.24206429666692703	0.07386960859693233	0.32040046152838214	0.33378665884395314	0.3320369982142066	0.2932636513542849	0.35312088658247787	0.2908419534720062	0.2708985225882412	0.2237215637882409	0.167365690402496	0.23024733860078353	0.27086919209198057	0.22157484248019269	0.17522595628651405	0.2911253970394402	0.31401476262259054	0.4530881112556183	0.2445772069111395	-0.0008568784752130892	0.4619561159587238	0.13648249546056004	0.08647491723604984	0.2830330195693746	0.13962400705106587	0.1634836427711945	0.16868030689754443	0.24954047474474617	0.25231160329443886	0.2078504882612354	0.16150940484112855	0.21905125422364097	0.19577621177802715	0.37675642153198613	0.42327713066969913	0.37786759745838433	0.5101285541814935	0.27045178099885525	0.3261546804483543	0.18704192477007167	0.18936350144956182	0.15122759230039096	0.34847465127536215	0.26446701864567423	0.38849794838180585	0.21420156096701184	0.4926676513161483	0.272969267801712	0.19379871082208042
spaGCN_1	0.40402490960803805	0.38918047292564084	0.5399684113959237	0.39131110445957723	0.0	0.5708400807295834	0.8336101106866884	0.36936053330396873	0.3630784682591933	0.1527055396996851	0.18121816834421167	0.3011510652730075	0.1484956987628434	0.2812175410138504	0.28455033235494864	0.2799056621510203	0.34891310498377637	0.2903809515614825	0.2827659043767313	0.23519883217893545	0.22784186895681785	0.09962007516497896	0.3054601270268002	0.32384061778289625	0.3897872571141597	0.1448877320475934	0.23302123167502628	0.23937113005123883	0.40947051003418405	0.24814435014988698	0.047235406310063094	0.415076797485369	0.09595193004986172	0.09512587531058302	0.29064940326685273	0.21296040370639885	0.21527981260940127	0.17886980063941738	0.30062460131224583	0.30495489467527576	0.15207189300327464	0.12834292682534104	0.15916467963315928	0.1348917851590008	0.30418588308549493	0.29784366251747774	0.2716176543897511	0.41875904527286056	0.301590709417889	0.33516492766912054	0.21635682525214614	0.21984732131977455	0.17735197977080852	0.22283097912214286	0.2536734197722018	0.40542616331046893	0.1774318891808801	0.3741708955003424	0.21259358775913337	0.2011742812941754
spaGCN_4	0.3526167838130664	0.28749775025081353	0.9308514944980192	0.3319612062029209	0.5708400807295834	0.0	0.6313796317354321	0.35590784914516177	0.30561264702663726	0.18372049178243416	0.16487184992971146	0.23350990198585123	0.17170321328661803	0.18553607654214702	0.1820170994903757	0.18598729627882585	0.3342467701427372	0.2725026220263047	0.2769592389917923	0.22820702837811424	0.3060777079264598	0.09787398330458544	0.29614970820682174	0.35477179268936393	0.38272752800681803	0.17481649920689804	0.27931908369474984	0.29493691226032154	0.3757332077816795	0.2556756421039782	0.05055794925427965	0.36833778901054437	0.11746000356504249	0.1304574700240572	0.33906757062057097	0.24243309431317656	0.25460758361093966	0.24078376984473499	0.3305516818827193	0.3752876795540918	0.165347367776265	0.16923039644831162	0.16726439036125837	0.1617870394699695	0.2823146030910951	0.3139089572946364	0.300945392535467	0.3108481473886644	0.256064652483829	0.25724096846307976	0.2598693624291617	0.2525856374015844	0.23285036394844455	0.2721805923189207	0.2710581389603107	0.3286273388231129	0.21795009365572438	0.28803741735239136	0.23280126592307465	0.23709338631208926
spaGCN_7	0.38310658818728566	0.37455317418009837	0.6313869891465497	0.3850593790324244	0.8336101106866884	0.6313796317354321	0.0	0.4093300612444451	0.3857964711158293	0.16999329494209103	0.1857469724381745	0.30751345763100413	0.16234612747702248	0.2563570108895736	0.26192191518336944	0.25675088924746403	0.4174569165764573	0.3155633378569355	0.32006961735689016	0.25858989056892967	0.2638876031427874	0.1049093613489591	0.32754505521435434	0.3576993674855436	0.42768688187148957	0.17808856620223604	0.27375995239174866	0.28190720063157104	0.40258464937531735	0.25219112961405243	0.046921690726588514	0.4110797231447169	0.1301032618454737	0.11227913715329685	0.3481836309503879	0.23949872533632127	0.24126305472115356	0.20749341549305908	0.3555507593450828	0.3665350072184865	0.17384520445966306	0.1464933491642871	0.18006183183227967	0.15717336163941603	0.33664703632104714	0.32909716174570347	0.31099256356842647	0.41590002040269003	0.29042438201344933	0.31697923895173746	0.25021444755782707	0.24965202515330148	0.20610798940295125	0.2738537189611893	0.27464512544033887	0.4022910523891606	0.20802959549258115	0.37210701850857997	0.23280548782889474	0.23770462855258445
spaGCN_14	0.4404188167567235	0.6600204311426118	0.36195203639467366	0.8499509983998291	0.36936053330396873	0.35590784914516177	0.4093300612444451	0.0	0.7571028692264072	0.08285609373710269	0.15132504541544148	0.23146268373902915	0.07195877509936623	0.3050054025209145	0.31893160622747224	0.30964082944020005	0.3348547717983006	0.39815040350831193	0.32404834930929527	0.3018822414190432	0.2454248112217644	0.1633551449398602	0.22515141391065824	0.271608508855786	0.2238206888570298	0.20999176271092068	0.3267412889841149	0.35228233495853145	0.4491296393881746	0.25358608250266407	-0.004589834669872968	0.4619338186544292	0.16205599161364367	0.09061100783766743	0.32309322941418	0.1512491533438563	0.1738277280403778	0.18872528173579264	0.27814255391194614	0.27463021680892724	0.2188356877881504	0.17465620843035726	0.2408407678585457	0.21366792827077463	0.4002553685265636	0.4594987511192051	0.4226981449798902	0.5142022984395497	0.2515902383212957	0.3070716083809238	0.2095214425819663	0.2104441331429274	0.16507197853564737	0.40271134180165274	0.28356700135306756	0.38358462744841626	0.2514681224184091	0.49295945358633914	0.3150749710240448	0.21983981868855215
spaGCN_13	0.43878959957696745	0.8306353920554042	0.3100152910312042	0.6959226541351107	0.3630784682591933	0.30561264702663726	0.3857964711158293	0.7571028692264072	0.0	0.07567503073085961	0.1540184239659667	0.25145617107534457	0.06911106983421074	0.3388425726230977	0.3479307097819736	0.34529573450530576	0.32079203220684316	0.40120337869614026	0.322419161380349	0.30987608661238497	0.23179396574336297	0.16794829739619	0.2218686606072225	0.26571946059422075	0.20554488976087593	0.18555258799371818	0.3102733418110571	0.3265056594976707	0.4581531369997134	0.24493107801868957	-0.0056333791848479885	0.471880521592416	0.14472060833203207	0.07080612405264664	0.3016593432927634	0.14674260139619882	0.16365803770942441	0.17120816282584544	0.2597561439804081	0.24607709688360238	0.2180423115946389	0.17569815431552055	0.23726369335230013	0.21239367552697924	0.42016857428672943	0.43709476074671494	0.4027492071189447	0.5134331180394567	0.260559135613248	0.32180196521964116	0.20170317365107898	0.1940334067478511	0.15445273690198513	0.38389201938325784	0.27402989383184984	0.4141860839265384	0.24571508697851835	0.4936677459054655	0.2967966451804305	0.19366762684333133
stardust_2	0.07894132442800705	0.07489826153254633	0.18390356902986665	0.08296199116968712	0.1527055396996851	0.18372049178243416	0.16999329494209103	0.08285609373710269	0.07567503073085961	0.0	0.46316933071079863	0.38301705973116124	0.8550514588685137	0.05300663350951586	0.051280487235437176	0.05176978961355707	0.11610661532486097	0.06454355484817637	0.06731794805938313	0.04568510570951659	0.09775387576965255	0.05934080825744757	0.22279593914610404	0.21842203405879568	0.22864472055073254	0.1602761134814622	0.15928441996729362	0.1422765587334603	0.08465955846096539	0.053581105396227034	0.03108024358676325	0.08756182376156502	0.13856098331756997	0.07043895032450354	0.16090893226202369	0.2678310861374381	0.2620379947242879	0.30049765944804635	0.1765316716235152	0.24427291399566792	0.27322381500508497	0.28504642148475834	0.2307031808001335	0.3152267118993445	0.05576590759179357	0.04115341811308352	0.03216216691297094	0.05653569549078145	0.09886612473729621	0.09686251401166776	0.282086734570492	0.2691089727878141	0.19817574046719547	0.1920895243579104	0.04770194996730233	0.08709087222459594	0.09795514342442228	0.04326711418838395	0.05025239683387407	0.16755267242196897
