	label	SEDR_default	SEDR_2	SEDR_dlpfc	SEDR_1	STAGATE_starmap	STAGATE_default	STAGATE_slide_stereo	STAGATE_1	bass_starmap	bass_default	bass_dlpfc	bass_1	spaGCN_default	spaGCN_2	spaGCN_3	spaGCN_1	SpaceFlow_default	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	DRSC_default	DRSC_FindSVGs	DRSC_all_genes	DRSC_FindVariableFeatures	precast_default	precast_dlpfc	precast_1	precast_BC	seurat-louvain_louvain_3	seurat-leiden_leiden_4	seurat-leiden_leiden_1	seurat-louvain_louvain_1	seurat-louvain_louvain_4	seurat-leiden_leiden_2	seurat-louvain_louvain_2	seurat-leiden_leiden_3	CellCharter_default	CellCharter_2	CellCharter_dlpfc	CellCharter_1	BANKSY_starmap	BANKSY_default	BANKSY_github	BANKSY_dlpfc	scanpy-louvain_louvain_3	scanpy-leiden_leiden_4	scanpy-leiden_leiden_1	scanpy-louvain_louvain_1	scanpy-louvain_louvain_4	scanpy-leiden_leiden_2	scanpy-louvain_louvain_2	scanpy-leiden_leiden_3
label	0.0	0.5145458263029302	0.67177468089847	0.4827941189444259	0.6639197119958666	0.498576868822638	0.5692622937417984	0.19032258950970185	0.6508173874206523	0.5910031792017386	0.5941047694439999	0.7168609379257338	0.6666768143229875	0.2874767302751139	0.29039783286166315	0.29039783286166315	0.2874767302751139	0.7432355392946891	0.8497627997925036	0.7389653580734601	0.7257420484062068	0.3284769687483086	0.38842754798967716	0.3284769687483086	0.36780740489392205	0.2645143043084797	0.25703101456883976	0.20028582889813903	0.25703101456883976	0.08383720904525901	0.16057028162050338	0.12397916684362074	0.08362933204875664	0.08760204115870866	0.16057028162050338	0.08760204115870866	0.12376567091635993	0.709454232077115	0.45183601808870083	0.659685892844783	0.47416808787361914	0.6513836974013334	0.7408227390498499	0.7078349119792808	0.677813916117119	0.16950211855192443	0.15695416350589297	0.172662794804057	0.1711319670260089	0.172776645855775	0.14539722673434793	0.17665634925361756	0.17299820129980856
SEDR_default	0.5145458263029302	0.0	0.6191325823912758	0.7672340288271942	0.5687958516104369	0.5702795212690668	0.46418892012027085	0.1502581733927761	0.5389551885579743	0.5349405367475221	0.5234682057361185	0.612454279508931	0.5832716304388482	0.2744184969274849	0.2259502756110411	0.2259502756110411	0.2744184969274849	0.5553192223640071	0.5226997346788883	0.5660460846301284	0.5560919359609441	0.2973609591268949	0.4772015191242455	0.2973609591268949	0.33091645324430075	0.23794695181455164	0.23271688821261047	0.18730468510164808	0.23271688821261047	0.053904088152472746	0.1319161349386543	0.10070684697095708	0.05384786095156786	0.054137716709203164	0.1319161349386543	0.054137716709203164	0.10050446781072118	0.5778135491264166	0.43067723400245567	0.549246210734744	0.48434244816015737	0.5070629022156664	0.5669495198850617	0.5313199719695515	0.506155863932238	0.14956927814911075	0.1166183453222883	0.1372180652593652	0.13616233351260984	0.13762595484478157	0.10903310142886727	0.13954897340999065	0.1372055635068371
SEDR_2	0.67177468089847	0.6191325823912758	0.0	0.6502066806004904	0.7599045410974186	0.5673573599088585	0.5245025626980323	0.13195646581671278	0.6329611754367847	0.5917500315728648	0.6032324900959166	0.71118680077481	0.6621067552318818	0.2815022260316301	0.2502287164340256	0.2502287164340256	0.2815022260316301	0.6478083224198793	0.673626365153549	0.6366406129220351	0.6291977332133202	0.30470294106307677	0.36252587971874356	0.30470294106307677	0.3401367436055444	0.2521584046959441	0.24546202591933536	0.21053082735933717	0.24546202591933536	0.07588343828060479	0.10416500002364859	0.0760477248034147	0.07582698274716017	0.07110011401005109	0.10416500002364859	0.07110011401005109	0.07580804630372467	0.6511606475372411	0.43741631084155475	0.4952830541040618	0.44986647344336167	0.6244427585943368	0.6490297314541859	0.6176225184540087	0.652177008658645	0.1450151557463252	0.09509732948092171	0.11686051113847949	0.11532877086282844	0.11685843577619955	0.08487567095867843	0.11708500852521433	0.11682430734442385
SEDR_dlpfc	0.4827941189444259	0.7672340288271942	0.6502066806004904	0.0	0.5761684467755731	0.5967424712786281	0.41700409465888805	0.18268306992103206	0.5791438412746142	0.4759709672544277	0.4572646694775222	0.5175338285913953	0.5002373009164065	0.2767121773678216	0.20827721762755877	0.20827721762755877	0.2767121773678216	0.48521586576288894	0.4888517738827901	0.4815676407760274	0.47683804915215944	0.267227122667922	0.4322347703859701	0.267227122667922	0.2952381863795382	0.2090920308128452	0.20483873964125365	0.17240530182785072	0.20483873964125365	0.06506504505652261	0.15873956550508606	0.1280879872500725	0.06496775018283386	0.06698760950388476	0.15873956550508606	0.06698760950388476	0.1278824305230617	0.5095740653155556	0.4975559710462224	0.5200584556689252	0.5535833897423464	0.5612221311901321	0.6045547506218222	0.5733044463851952	0.6039279426661182	0.1539157853151079	0.1441588833500388	0.16919400099644052	0.16807578453416525	0.16959939045719616	0.13549958524901504	0.17131242353779239	0.16894651307489317
SEDR_1	0.6639197119958666	0.5687958516104369	0.7599045410974186	0.5761684467755731	0.0	0.5892965839080594	0.5725657904954831	0.1749638612632447	0.5478951464720835	0.5772939326326304	0.5687855376040762	0.7303397296707649	0.7027766271374168	0.31675738855727725	0.2834594404556531	0.2834594404556531	0.31675738855727725	0.6519618368397352	0.673018325170879	0.6465547574644642	0.6279906113228507	0.3289956468062543	0.3918699147674076	0.3289956468062543	0.36958121477816935	0.27395907809689196	0.26693401267278183	0.22767058664687684	0.26693401267278183	0.06726982519434781	0.14123099632113617	0.11176646036992847	0.06727594892634446	0.07051291863372328	0.14123099632113617	0.07051291863372328	0.11155291244084005	0.6405968001518338	0.43377997659724254	0.5054377105763501	0.4570381071462185	0.5328781177030574	0.6251543576344346	0.5985828608705125	0.6851772253996343	0.16821861046069628	0.13246688455637307	0.15738859893457602	0.15548105874986418	0.15728727389305983	0.12474531430481366	0.15885322337999294	0.15716030459635863
STAGATE_starmap	0.498576868822638	0.5702795212690668	0.5673573599088585	0.5967424712786281	0.5892965839080594	0.0	0.3529417743637809	0.11344444314364997	0.3767554646366824	0.3927507449763442	0.39541442442123026	0.5350146975471577	0.5026243268224512	0.17265411659231153	0.17741667705571032	0.17741667705571032	0.17265411659231153	0.4905488351825374	0.5371168969833102	0.5267416023948689	0.47799138964880905	0.2453783866732154	0.35872808631857367	0.2453783866732154	0.3007966728388318	0.19669902414680873	0.1920274898888284	0.17295935117438851	0.1920274898888284	0.019739621824699228	0.07420096295015985	0.06877027407052216	0.019899243309498865	0.018340784919141706	0.07420096295015985	0.018340784919141706	0.06871343480274769	0.47254238417194333	0.44206763765242985	0.565248185561036	0.523075838337717	0.38479260073495386	0.4680973071650388	0.44356560048789495	0.5100135359943995	0.09469428964424266	0.08308038626222049	0.10147656076866741	0.10013364997817574	0.10245404972052992	0.07704323748761177	0.10325391122689638	0.10063550157694721
STAGATE_default	0.5692622937417984	0.46418892012027085	0.5245025626980323	0.41700409465888805	0.5725657904954831	0.3529417743637809	0.0	0.24853433132410496	0.6086917635513539	0.622078733561592	0.6176083145729878	0.5962878831522314	0.5873110432653121	0.3958892127887099	0.29623593724764424	0.29623593724764424	0.3958892127887099	0.5637862555694595	0.5689614919149844	0.5625092959916351	0.5610892412875564	0.3759643445989871	0.4570006316160278	0.3759643445989871	0.4328203885915673	0.32793084244632514	0.3201238602777698	0.26400221626301196	0.3201238602777698	0.09283886298129265	0.20493137801500244	0.15838412056426618	0.09274295925381328	0.11710541600791369	0.20493137801500244	0.11710541600791369	0.1582038212212995	0.653417281177189	0.3805841476399349	0.44175218315762294	0.3889932334822145	0.5559661330099892	0.5735887616560941	0.6202985944994428	0.5284357318683199	0.26881995792751556	0.19231476118122878	0.22687856461812964	0.22423084062539922	0.2250692399119539	0.18374008572339345	0.22540755157376943	0.22665183391328877
STAGATE_slide_stereo	0.19032258950970185	0.1502581733927761	0.13195646581671278	0.18268306992103206	0.1749638612632447	0.11344444314364997	0.24853433132410496	0.0	0.319125426717394	0.16374063055570245	0.14085809848055997	0.14991058487937303	0.15433728893090315	0.42229100383976315	0.29071405486081475	0.29071405486081475	0.42229100383976315	0.1508754707502148	0.19659619726647523	0.17306437807143188	0.17338302614462173	0.2592543152741354	0.23644053714128602	0.2592543152741354	0.24504824431342542	0.2722642723538777	0.27279699562607246	0.20851886444318807	0.27279699562607246	0.2869990905730454	0.5850395691124115	0.7047367542335266	0.2861481977222006	0.14966338812951632	0.5850395691124115	0.14966338812951632	0.7051959211827521	0.1811046217940104	0.14559909455928607	0.19760549382271772	0.14680789982274692	0.30301758537703655	0.2951155661081088	0.299151783578333	0.1965791697582635	0.5349456640970524	0.7541542686022552	0.8931015895226082	0.8876204377705285	0.8908062748098989	0.7745304153085856	0.8917438994033918	0.8911809435717643
STAGATE_1	0.6508173874206523	0.5389551885579743	0.6329611754367847	0.5791438412746142	0.5478951464720835	0.3767554646366824	0.6086917635513539	0.319125426717394	0.0	0.6391919746806063	0.6301967630848745	0.5978375450580928	0.5574276805545311	0.32582255445607927	0.28064422046456733	0.28064422046456733	0.32582255445607927	0.5860803031842847	0.6460845778370636	0.5959452262160003	0.5884927098494313	0.33362663203278753	0.41055111827366286	0.33362663203278753	0.3727666509051669	0.2763898558641385	0.2693220249565699	0.21126221246069987	0.2693220249565699	0.1475723481862021	0.26281338715305497	0.20804366002738203	0.14721865740748458	0.15820075953608925	0.26281338715305497	0.15820075953608925	0.20770394956899277	0.6918418208126573	0.43653017464504346	0.4956971471865983	0.4405849964791097	0.8193695340933187	0.8064540952789575	0.846838690312854	0.625096476918331	0.21383408827231976	0.2527176776310528	0.29499482203907096	0.2927258766044075	0.29445604696344996	0.2367863627066333	0.2967820548403081	0.29512760408848043
bass_starmap	0.5910031792017386	0.5349405367475221	0.5917500315728648	0.4759709672544277	0.5772939326326304	0.3927507449763442	0.622078733561592	0.16374063055570245	0.6391919746806063	0.0	0.9324979514606053	0.6948968774892099	0.6515777533291989	0.33372418567606427	0.27896690708336963	0.27896690708336963	0.33372418567606427	0.6290483191457028	0.5913774557471593	0.6338036616225138	0.6231042215511385	0.4526448388716091	0.3988319982053724	0.4526448388716091	0.4155514100801132	0.3856530817586106	0.3758197230542513	0.31353498741864216	0.3758197230542513	0.07737717266285317	0.19590724834629972	0.1334769581337242	0.07751074910222625	0.13720230533749234	0.19590724834629972	0.13720230533749234	0.13318170079111447	0.7624241517879025	0.40972877078365066	0.4627179376563945	0.4154188822051042	0.5998832355535524	0.6191746319190841	0.670792967372517	0.5522549959600953	0.17607604021896564	0.11768329809604879	0.14618495105850532	0.14482079902408362	0.14408224609959489	0.1043840116783141	0.1437461796155081	0.14586553605421632
