	label	spaGCN_6	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_4	CellCharter_2	CellCharter_3	CellCharter_1	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_1	SpaceFlow_4	labelDRSC	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_13
bass_2	0.38443791130756216	0.436405247305195	0.30354156481167033	0.3060738613517643	0.3015949167047987	0.27401760627853355	0.19627986473191264	0.2144606321238995	0.19589923990249672	0.776313975075972	0.0	0.7580600882103565	0.8450560710282864	0.7071861195966247	0.7187063525203236	0.7223998261853795	0.4949631980873876	0.41303778339555736	0.3413076455242565	0.5513754953834923	0.6372781094758118	0.6135545056880112	0.6248512868461393	0.6969352779991453	0.318694135040551	0.21155623245721875	0.21237814870341848	0.22055197926533912	0.22195773607723446	0.2800145773439177	0.263841238199564	0.6444093917682475	0.5358138616498754	0.528455358242941	0.5713480099843303	0.543047091342571	0.6379734591141812
bass_3	0.33969428265815704	0.46063465233454	0.3339086718968889	0.3447493243895107	0.3358105515219255	0.31884638787375363	0.2572835238171669	0.2686831261032399	0.2568619939395684	0.6913149278852482	0.7580600882103565	0.0	0.7929796869334931	0.5908798002185469	0.6143592902358488	0.6252868449397061	0.453897034583131	0.40570585576790397	0.3351040342637132	0.5217757199500763	0.5712137719048512	0.5574623639610121	0.5853681518359731	0.6077213909721969	0.34973976111270927	0.27442589220513985	0.2754948950631008	0.2724764529841047	0.27369681116096256	0.3267466796764028	0.30843926152572954	0.5735644140683746	0.4996826883413911	0.47305524055023923	0.49597964661226207	0.46283907219414905	0.5676228994026155
bass_4	0.3976529558030196	0.4471333950527992	0.3059896013743223	0.3050317804975516	0.3123989029980493	0.2883557820472674	0.2068864605447695	0.22176567182180804	0.20647515085393786	0.8270245044028194	0.8450560710282864	0.7929796869334931	0.0	0.6751482447731639	0.6889854985857709	0.7108984249122196	0.5053344223279823	0.4372520716394773	0.37201924045476503	0.57799939818861	0.6680676996502883	0.6099976105420704	0.6685530229154927	0.7133543428028359	0.31565845270091697	0.22870551898243105	0.22955305141341326	0.23324508862339172	0.23457189733222825	0.2979222788757791	0.2720663263618211	0.6581567390010267	0.5777119294097843	0.5509984709650984	0.5896698017099259	0.5495575483400961	0.66467256328512
CellCharter_2	0.42524285312395416	0.4101978495141092	0.297059337847903	0.2862777463746099	0.2758037042213344	0.2515934746301347	0.19775214349710668	0.21769693550732044	0.1976764260126539	0.6923835112949314	0.7071861195966247	0.5908798002185469	0.6751482447731639	0.0	0.8605582135854797	0.9138672256315918	0.5047044545707995	0.3953279408173986	0.3623744165739665	0.5291398345506262	0.6259171093920793	0.6219099581199475	0.699311567262696	0.7922376168644079	0.29704046663812805	0.22314046642812607	0.22361970534687992	0.22201005523131825	0.22342182604899122	0.2878120834208801	0.271896916257498	0.6979619727325669	0.5943304396628103	0.5938623452185932	0.6577823456652988	0.5937299543978469	0.6536568853499835
CellCharter_3	0.43073951996822	0.3986808513432906	0.27564137454242255	0.2689588860751226	0.2646750001785152	0.23911057553341025	0.1819160819473141	0.20433163938511853	0.18177332452854006	0.691581322032949	0.7187063525203236	0.6143592902358488	0.6889854985857709	0.8605582135854797	0.0	0.8526926184137738	0.4978517055776535	0.39133201446666166	0.3352107446103277	0.528954295106174	0.6385198523498414	0.5989326264681231	0.6919316852781999	0.7809302139488082	0.28913725297669574	0.1988765354947646	0.19927373165762008	0.20687511270465592	0.2083010285367422	0.27322421916296963	0.2560565513563446	0.6922192763906414	0.6007337801244477	0.6005938219183431	0.643832520087986	0.5947446403702031	0.6448822598834991
CellCharter_1	0.45577258426081263	0.41207390814499967	0.3015428944651862	0.2866312823189153	0.2781653225715054	0.25218462885434684	0.19674004290150351	0.21607723221351435	0.196687860606884	0.7278651997357072	0.7223998261853795	0.6252868449397061	0.7108984249122196	0.9138672256315918	0.8526926184137738	0.0	0.5287424258063173	0.42303695157101784	0.36422142305574196	0.5608048939869481	0.6586896105431089	0.6601222058622843	0.730379109911374	0.8262209919493319	0.3043733377196541	0.22140545645504597	0.22192485898837477	0.22074592391516584	0.2221932814852753	0.2860507611505753	0.2706930967427091	0.7356667407134333	0.6311933523375592	0.6269989259168159	0.7018980208286738	0.6240381416721642	0.6948048791722523
SEDR_5	0.3602252350016901	0.4310287706525713	0.3317350731502049	0.31879681871906185	0.3425492858807257	0.3322195185099397	0.30661762304368423	0.2750507787185844	0.30740379785439814	0.5137643349657682	0.4949631980873876	0.453897034583131	0.5053344223279823	0.5047044545707995	0.4978517055776535	0.5287424258063173	0.0	0.6017671150170112	0.4370926772668579	0.5026430161684874	0.47245470447351184	0.42255319948497627	0.49926293887167766	0.5430641507988518	0.35472471499875463	0.283946350080965	0.2834911671373426	0.3190988252656714	0.3218482188792525	0.3942228399420856	0.3831228362081297	0.5177250049842644	0.4401646448784697	0.3989130383485613	0.47986408947355325	0.4350538547128955	0.4725114156620918
SEDR_2	0.28828311776190596	0.42130867867897254	0.30169449865848963	0.3482820467766667	0.3619067386933	0.35602761648252285	0.2844185506255961	0.2466834659423506	0.28482093329403574	0.44116550539777477	0.41303778339555736	0.40570585576790397	0.4372520716394773	0.3953279408173986	0.39133201446666166	0.42303695157101784	0.6017671150170112	0.0	0.5758825710600487	0.5870800856446721	0.39983319039718596	0.3618732141045566	0.381809174702175	0.4363805549736183	0.29565570845721306	0.2633350162795832	0.26363815063075463	0.26186783226574917	0.2628176298485476	0.34015274218631564	0.32192949710420227	0.41389073173942276	0.38768489173087856	0.31684838085733824	0.3873492233306169	0.3362991182222361	0.4075775746714667
SEDR_3	0.4057774531915707	0.34248783653448145	0.3299104965966261	0.27898309609000255	0.23588551656294954	0.24394210553938336	0.20864708898121861	0.26892531410600723	0.20816826527557333	0.3731299843050274	0.3413076455242565	0.3351040342637132	0.37201924045476503	0.3623744165739665	0.3352107446103277	0.36422142305574196	0.4370926772668579	0.5758825710600487	0.0	0.46915036961862183	0.3157408960382271	0.3051785493839255	0.4048983661778206	0.37418173183620607	0.20481091853297198	0.2827747846171883	0.2826302610172125	0.24888973147681134	0.24917061354788347	0.26812307115321654	0.3519766191706384	0.36017816320151685	0.44228994165129115	0.25979557911518464	0.40301015074521246	0.2670661691508974	0.3152847442650947
SEDR_6	0.3003485718986692	0.4165696495091788	0.28415434666369305	0.3028242694946366	0.2850168372027683	0.2671342167696358	0.20097005195185347	0.2124929603426755	0.20041455656219476	0.5747136971841754	0.5513754953834923	0.5217757199500763	0.57799939818861	0.5291398345506262	0.528954295106174	0.5608048939869481	0.5026430161684874	0.5870800856446721	0.46915036961862183	0.0	0.509997469712356	0.48493504408559174	0.4984350367557199	0.5645100847557144	0.2705761433839371	0.24441225290330504	0.24504621854543807	0.21423304994646533	0.21481712063096706	0.27319014367011324	0.24874811912361822	0.5282108758110042	0.5220202512274573	0.4399562920576692	0.47153269061191333	0.45469148747408417	0.512361589725346
