	label	GraphST_default	GraphST_2	GraphST_dlpfc	GraphST_1	SEDR_default	SEDR_2	SEDR_dlpfc	SEDR_1	STAGATE_starmap	STAGATE_default	STAGATE_slide_stereo	STAGATE_1	BayesSpace_default	BayesSpace_melanoma	BayesSpace_1	BayesSpace_scc	bass_starmap	bass_default	bass_dlpfc	bass_1	spaGCN_default	spaGCN_2	spaGCN_3	spaGCN_1	stardust_default	stardust_tutorial	stardust_2	stardust_1	SpaceFlow_default	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	DRSC_default	DRSC_FindSVGs	DRSC_all_genes	DRSC_FindVariableFeatures	precast_default	precast_dlpfc	precast_1	precast_BC	seurat-louvain_louvain_3	seurat-leiden_leiden_4	seurat-leiden_leiden_1	seurat-louvain_louvain_1	seurat-louvain_louvain_4	seurat-leiden_leiden_2	seurat-louvain_louvain_2	seurat-leiden_leiden_3	CellCharter_default	CellCharter_2	CellCharter_dlpfc	CellCharter_1	BANKSY_starmap	BANKSY_default	BANKSY_github	BANKSY_dlpfc	scanpy-louvain_louvain_3	scanpy-leiden_leiden_4	scanpy-leiden_leiden_1	scanpy-louvain_louvain_1	scanpy-louvain_louvain_4	scanpy-leiden_leiden_2	scanpy-louvain_louvain_2	scanpy-leiden_leiden_3
label	0.0	0.40739013112219213	0.3882577435513844	0.4002077924423088	0.4476532354439178	0.5119664168018849	0.5091932611522628	0.5243310691680206	0.5801002807356458	0.4538936168465299	0.39546712021839786	0.30116912148068986	0.3872032697074334	0.3902748705686272	0.40628700019746555	0.4062624507636108	0.38941461991795334	0.3813268025090057	0.3916873273296078	0.5270582118528603	0.5141787233217047	0.4619638727685297	0.34406262186057324	0.3348817139429212	0.443542968497865	0.23649511133325538	0.1820360989959614	0.1366436106688361	0.22038189319943124	0.29408841936507246	0.2356386150874423	0.18879158364708212	0.3207653764307977	0.3571961286446234	0.36541626876718497	0.5167598852204434	0.3252764566051017	0.3492259588283841	0.343047292180114	0.30000746554513097	0.3453814242393337	0.2445997498807274	0.23790381813375394	0.22829418690323736	0.2421619992865544	0.23524890899041156	0.23790381813375394	0.23524890899041156	0.2422177997278012	0.3917825042714769	0.3956577625070147	0.48265808726565085	0.40275931227110584	0.3869461870440323	0.4356928227324696	0.4570057389697795	0.43557739768189097	0.18489848880519075	0.14968482054402904	0.19086769732267175	0.19866462316007813	0.1451392859241485	0.1607203316038625	0.1487298065724093	0.2002762927048417
GraphST_default	0.40739013112219213	0.0	0.5460073776239412	0.7577345330675752	0.5395751148783888	0.6613958681689827	0.6101930545293206	0.5214087174269684	0.5917292519041463	0.5555912119670388	0.582723328552851	0.28865362794828775	0.36561418604291773	0.5848789664439344	0.5569633702834201	0.5605183685613662	0.5841048312234911	0.5625836361153735	0.5890717320614054	0.5305443202808776	0.525468076161077	0.5074419716561752	0.4693481993705231	0.43893396867620915	0.4747823668223754	0.29372098365885285	0.2111009595744096	0.19944067455030887	0.282836794686698	0.3767895082477053	0.24482788970648878	0.24180902808857682	0.36565247766054354	0.6131016784009161	0.6174300262188059	0.5996646281480722	0.571563212984653	0.6940609516255072	0.6586359254167669	0.45691931967994115	0.6912750019760115	0.3117981257711846	0.2870207012131307	0.28890949017922185	0.2955749960333455	0.29485555030573857	0.2870207012131307	0.29485555030573857	0.30976434617979054	0.4812920715382331	0.41397266429704477	0.3749493542356149	0.502838872787902	0.28265761140031276	0.4225200132212874	0.40068009751722605	0.3663447142268129	0.24053592139405588	0.1988168391777664	0.2531624397667118	0.2420869175296479	0.20224005691508878	0.21942375941898692	0.19943118747069952	0.2639672344901814
GraphST_2	0.3882577435513844	0.5460073776239412	0.0	0.5247983688123491	0.5832875365731925	0.5300144492210613	0.49427412950655103	0.4141495998706205	0.5273719604343767	0.4968953598600921	0.47233386477881695	0.2994826924992846	0.3601663544704123	0.49015148403737985	0.44746130935149586	0.4481804455297286	0.49005443578408153	0.5471565087350176	0.5418827915113106	0.4633843475649592	0.4682933287556633	0.48505141891754217	0.44340093260559077	0.4142043298908916	0.4625866729171357	0.29143576678153454	0.19972943731469436	0.19905886649565274	0.28334687955698595	0.404119724014576	0.3020985906235106	0.2559390735184736	0.3926420914869587	0.5327434854009497	0.5126871280387368	0.5201654647938171	0.4602339903562142	0.5009614515584545	0.5200567062843506	0.39324133279808715	0.49865765599217493	0.33084174545170775	0.3065287703140675	0.2774225145713207	0.29164487154139657	0.30245216615397913	0.3065287703140675	0.30245216615397913	0.3290119347026315	0.4445497455238369	0.38473834524996325	0.3875768251131333	0.4511029000629101	0.3094829494877217	0.4334953430689365	0.4105142434742844	0.4042430050259045	0.22999495252802263	0.19438724180629718	0.23945812494780078	0.22996832764390027	0.1938686388711931	0.20629111742818937	0.17854587706035233	0.2472855392152536
GraphST_dlpfc	0.4002077924423088	0.7577345330675752	0.5247983688123491	0.0	0.6049287284967086	0.7048769544457377	0.6715214688540141	0.5618336832698478	0.6128880999062674	0.5992581777599025	0.5961936075550641	0.2842875763581007	0.3715631029489507	0.6165868329756974	0.5744300146978486	0.5766348594922174	0.6144381953918795	0.5760516223042466	0.6128065027337266	0.5338161014374565	0.5288232769201331	0.50376455655573	0.48448165558663575	0.44181560978034945	0.4636464232023169	0.28888999780461005	0.22743344234094212	0.2196422903197809	0.2801730659824312	0.395434722779476	0.2558898145686097	0.2628713596542828	0.39718133249408205	0.6228170288614606	0.6421516022897354	0.6101615415265544	0.5748573310084015	0.7659005093104037	0.7146556587240256	0.48331918809064106	0.7625258005371955	0.29032566125201825	0.27844900289393715	0.26997388954703583	0.2739431625187366	0.27664351989458086	0.27844900289393715	0.27664351989458086	0.28869337450216154	0.5049136391207026	0.4261283263940669	0.3914266948120546	0.5373792884071201	0.28157348362311363	0.4325462128498426	0.41157962381872476	0.37030914214685523	0.23138982278125453	0.1847238170477153	0.24830764826421786	0.23276862743090942	0.18936861107566608	0.202074302095015	0.18315399759186166	0.2580963828704148
GraphST_1	0.4476532354439178	0.5395751148783888	0.5832875365731925	0.6049287284967086	0.0	0.6039775578437214	0.6030651308396657	0.44367738499336956	0.6292231162773458	0.5581375256611119	0.520804743360231	0.2549133122904039	0.3771835072099701	0.552851170288192	0.4708849930589325	0.4715678367626539	0.5520088857206573	0.6151552013024775	0.6148858070539801	0.5155279887287831	0.515015214427057	0.4768297421293011	0.45735034687173426	0.41385418950689923	0.44152278832594927	0.31116831040429643	0.23734898590105843	0.23066911349609637	0.30386289461577237	0.42628489855057555	0.33266094442619043	0.29194367378862074	0.43616038458187945	0.5521333907746898	0.5630193105725312	0.5799965346968806	0.46805313461703346	0.5347369502143674	0.5554495278753765	0.39184344542861077	0.5324128889012006	0.299445691535882	0.2938176976648695	0.25948159153198574	0.2741550898077656	0.2851421501624039	0.2938176976648695	0.2851421501624039	0.29754369156271016	0.52593628159668	0.42767148267924887	0.46167034697593523	0.5384406800286013	0.3361352402615469	0.499212886839802	0.46418653673532284	0.47405913297128316	0.22719250375362268	0.19514607789617586	0.24170224953294384	0.23153582983927853	0.19353996501246665	0.20662133374121816	0.18243123819011264	0.2477405194973138
SEDR_default	0.5119664168018849	0.6613958681689827	0.5300144492210613	0.7048769544457377	0.6039775578437214	0.0	0.6997696533274703	0.6202214941875757	0.7210876468995815	0.5296911561510219	0.6011001784454453	0.3494412656639522	0.4852512775175813	0.6253820881497705	0.6350956688938867	0.6356195154020793	0.623424621883575	0.6248099902978901	0.6403463492333084	0.6891731625310903	0.6797711892080651	0.6261898722922759	0.488927872420711	0.450090522230499	0.5841296190634689	0.2897790568021335	0.2059119491434474	0.179525835592113	0.2799148637701429	0.40391801125360693	0.2583359580611603	0.2530257867967779	0.40494531469676853	0.6256927089831824	0.6493909671343925	0.7458894837606795	0.5088690887801077	0.6587021740918901	0.5986822602392432	0.3892352020208011	0.6565300576958403	0.2988198044107271	0.284269196288392	0.27052760518554314	0.28106269333964085	0.2787832671723026	0.284269196288392	0.2787832671723026	0.2961179391559844	0.5077389976122074	0.5304832217832416	0.372714627151293	0.545142983003591	0.4340184846703462	0.5497226548857725	0.5855539781442111	0.5106546123085782	0.21837436864151114	0.17877164220484668	0.22239987415804296	0.225515527404576	0.1729328334018263	0.193698569256613	0.17616303303975403	0.23307846870194257
SEDR_2	0.5091932611522628	0.6101930545293206	0.49427412950655103	0.6715214688540141	0.6030651308396657	0.6997696533274703	0.0	0.5458303957827819	0.7298062701728842	0.537280975234091	0.5927368712354432	0.3416680003225164	0.4239733008179808	0.5896083637265853	0.5405137138342045	0.542266262319088	0.5875548262073501	0.540613735289172	0.5732109475460674	0.5897043799163335	0.5953959591961514	0.547401431284012	0.4412381761823561	0.408273010055831	0.5066531581658401	0.2744514510082689	0.2023116802975043	0.17823955708504016	0.27137577761210047	0.3343968456251991	0.2457183086853718	0.2614767776170071	0.3441580367735765	0.5100866530927686	0.5470763832846455	0.6603201193035179	0.49486857205064744	0.6305853669581843	0.611982358119194	0.41121282565856815	0.6274375739754928	0.2667895810049772	0.2556320315525925	0.2339141465575524	0.24659946324995943	0.24619907741200342	0.2556320315525925	0.24619907741200342	0.2655325408164088	0.5067934669160311	0.48423049335409113	0.4004111362823613	0.5370217713317805	0.39507989634890756	0.5370165750588045	0.5108039414885671	0.4759722299252087	0.20952214340052508	0.17763554923674804	0.21665482545188322	0.22260294019168547	0.17157722778269388	0.19126159008703836	0.1767799167561838	0.22391820395003748
SEDR_dlpfc	0.5243310691680206	0.5214087174269684	0.4141495998706205	0.5618336832698478	0.44367738499336956	0.6202214941875757	0.5458303957827819	0.0	0.5201999133721735	0.5068812482158556	0.472285037825231	0.343639457082809	0.4372854686892531	0.484775461589387	0.6054924108591445	0.6055262829944981	0.48426501615732515	0.4385884156032725	0.42674876149509394	0.614981258460847	0.5711713799110155	0.4975577641008873	0.3817191858203182	0.36743093020279294	0.4733367969549221	0.2622693905782498	0.20063367013298272	0.17837010399233322	0.2557487066245401	0.36447122812154925	0.23865459347839874	0.24022599299882189	0.36967909072941874	0.5024620292841453	0.5132789921447442	0.5599182546474493	0.4566545422946961	0.49521818501242915	0.4745728951306292	0.3898231266718742	0.49602111060639553	0.26049344196416874	0.24738941632202013	0.23157604326242084	0.23866625699763694	0.24056925154940537	0.24738941632202013	0.24056925154940537	0.25906719767676856	0.43528626790702846	0.4844053458230213	0.4035284580705203	0.4634767552112428	0.38327553799581426	0.44160206782504474	0.46043914213630216	0.43355450967816017	0.19288484353569238	0.1577737435653284	0.20111661708268636	0.1977772754443246	0.15578945988119342	0.17237767003861315	0.15789417532428518	0.20728928568511207
SEDR_1	0.5801002807356458	0.5917292519041463	0.5273719604343767	0.6128880999062674	0.6292231162773458	0.7210876468995815	0.7298062701728842	0.5201999133721735	0.0	0.6281430314170854	0.5365382056713862	0.3555648586083607	0.4864595134502227	0.5236745265929855	0.5521899483762298	0.5530049753878803	0.5220934879835214	0.5557755690272207	0.5804747616548777	0.6200887695326884	0.6372521062434762	0.6351455751796207	0.4523680021133651	0.41788906523094127	0.5891877296570276	0.2830961147289061	0.18749704837923556	0.17921101673380807	0.2691669697639318	0.38155613481872663	0.2533585307388182	0.23704225046192345	0.377370468297735	0.5190092518786237	0.4952812401184582	0.6848659034963753	0.4589586653917139	0.5708138887080124	0.5736365707025799	0.3663541244657235	0.5695350863740302	0.2940793349592117	0.27439332866259264	0.2532020374370703	0.2679657761698133	0.26637295169195896	0.27439332866259264	0.26637295169195896	0.29136355035293554	0.490836816084265	0.5036081562429466	0.4182731680241828	0.5012842711564791	0.45591169246377383	0.6504069832161352	0.5660043911899109	0.6230636187618253	0.19802449290204086	0.17100910873931371	0.2085142793363701	0.2101746251099968	0.16270520103989325	0.18209619007869432	0.1626144251799341	0.2145915172857785
STAGATE_starmap	0.4538936168465299	0.5555912119670388	0.4968953598600921	0.5992581777599025	0.5581375256611119	0.5296911561510219	0.537280975234091	0.5068812482158556	0.6281430314170854	0.0	0.4940075367851022	0.27308718329756265	0.3449939407391769	0.4629667899095388	0.499902666055468	0.49944626943683457	0.4617220461383631	0.5135144057582229	0.5242517078277978	0.4923003585337384	0.4914943926189844	0.5125688668792301	0.41564431734136437	0.38123483407210146	0.4771543405888865	0.26546437272360607	0.18879630435530856	0.19317538946841667	0.2553715503308964	0.35888534437561165	0.25606394491908835	0.23593447779358045	0.36353385917352243	0.4936717537198788	0.46257740274339226	0.5409980726859271	0.4342638715236991	0.5467690967607494	0.5463697280442982	0.3821557825374162	0.5460541092509377	0.27625649231752164	0.25700626195094495	0.24099537642570965	0.2509244549878756	0.2537466831715769	0.25700626195094495	0.2537466831715769	0.27453508142821914	0.47383048139300976	0.4331277690467977	0.4649055677294949	0.47272523090440205	0.30816699797186003	0.5257074347319413	0.39634355694843165	0.4640430128330924	0.1980088712767814	0.1616991057077147	0.20560147645329002	0.2064550080850354	0.16302603447033825	0.17471789755965933	0.15987671843494702	0.21375084885960524
