	label	spaGCN_9	spaGCN_6	spaGCN_10	spaGCN_1	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	stardust_2	stardust_3	stardust_1	stardust_4	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_1	bass_4	BayesSpace_1	CellCharter_2	CellCharter_3	CellCharter_1	GraphST_5	GraphST_8	GraphST_9	GraphST_2	GraphST_3	GraphST_6	GraphST_1	GraphST_4	GraphST_7	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	SpaceFlow_4	DRSC_2	DRSC_3	DRSC_1	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_2	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_4	STAGATE_13
label	0.0	0.46489603381746275	0.43643020046575404	0.45226516792890514	0.42820892443899783	0.4500953215542208	0.4201204733189915	0.4486125954171389	0.46018513140914247	0.326665822458209	0.3127674974988636	0.3340453985315215	0.3001562262063295	0.42484076594070896	0.48424527647584775	0.45076825265925435	0.41371076057644707	0.37658971707473077	0.38428762191903587	0.41891340480992345	0.41277341839227016	0.35208516381915606	0.4097927633328785	0.40337224665060506	0.3955772990478346	0.4659504705356966	0.5261958273420755	0.4880401618820802	0.5273391189383463	0.4841404849587645	0.4289379858525852	0.5323866739703328	0.5306840452812897	0.45458897788092906	0.34338830635252393	0.4088230405172043	0.3987913442357176	0.4090761735570445	0.38014456106854394	0.4147255528981503	0.338872794459208	0.4248251935820304	0.3485972894153489	0.32307806796440675	0.6701838134001384	0.5524619470751864	0.6815408276892353	0.6934791967069819	0.5066615107694862	0.48932880611561097	0.4837991486280285	0.4739808944926716	0.3467637021670116	0.3600623787488238	0.49470760731358615	0.31539540825535506	0.3748522350943392	0.4806690316736573	0.46001488021832787	0.6475434418831731	0.4409224442218362	0.3216747095503664
spaGCN_9	0.46489603381746275	0.0	0.4913176303364097	0.6619472582297052	0.44868588708435747	0.5063833579330872	0.4395334381562118	0.6265677939100851	0.8425390171495006	0.3589410455081629	0.3862629710661685	0.32886589849984565	0.32154439492184494	0.3011952033755018	0.34200083160339917	0.3245959721986065	0.3215186603817948	0.4485309661618851	0.42003014330309674	0.4464670912857556	0.40394204459045707	0.20137009588368077	0.386427686950927	0.392281117912829	0.34739960509489937	0.3365566011932519	0.3759039130617662	0.3497613743253541	0.37742698353855714	0.3036048832332515	0.2630480911692005	0.3538194314080114	0.3771327938366698	0.2829061055162287	0.38068855972007	0.4284013094535791	0.4161326657160385	0.44205133952254966	0.3791959427395563	0.3946158823952562	0.2868920584780123	0.35492673594449764	0.2887391674047027	0.31256567653993866	0.4630635761750435	0.4156317416474374	0.44616511138620185	0.46903748228916164	0.4586708688403717	0.46857769789370124	0.4699209447612243	0.45791991964030576	0.37712429550757054	0.41714891029067314	0.38368094159983485	0.3228071269526828	0.3462188875135979	0.38626770209825606	0.35606093061769356	0.4106584926593092	0.3852457939148075	0.3618834629414347
spaGCN_6	0.43643020046575404	0.4913176303364097	0.0	0.4724064937261541	0.6201299209325276	0.9199830270413271	0.6409487759924336	0.49111959247920495	0.5284042863240138	0.3922647977769174	0.3914858693783235	0.3588713543024502	0.40094296293626513	0.29469919355806	0.31885869864422073	0.3068188910492231	0.38659174587214085	0.5465176727919668	0.5270249119547706	0.500601734385444	0.45877926957821413	0.19417234491035343	0.445815528993657	0.4751545152171636	0.41680794225384954	0.42963347887768183	0.4574238830440234	0.4666008756607071	0.4218207362986506	0.2897376040725936	0.24857156674742129	0.4030871256627009	0.4499464732395458	0.2685623616137986	0.4618338851653992	0.48793195477575835	0.478129336114046	0.4788131544798779	0.38953668254994894	0.3441414432999421	0.3771039102274631	0.44695999022535865	0.31495241561425785	0.45710754988835667	0.42798219848437874	0.47195616886473557	0.40640451759729934	0.4461324127040967	0.43214197685965	0.4286667084875563	0.4303881138260109	0.4275428101883011	0.4643924875403987	0.520146547355951	0.47608126577590926	0.4311917173953524	0.41861679873427177	0.41477509128091117	0.4541228545038526	0.3808556502130135	0.3990723414965944	0.4363585535099566
spaGCN_10	0.45226516792890514	0.6619472582297052	0.4724064937261541	0.0	0.4476856832655592	0.48217373754560067	0.44738240058890616	0.9125959755609794	0.6471264935294874	0.33724129430495586	0.36691614695875296	0.33415603166575086	0.307561469128497	0.2870998984513148	0.31859682418284596	0.3096058559961896	0.36785469020073275	0.45464914223394465	0.4228665575230748	0.4733227605114844	0.40745133747602486	0.21528208162198187	0.4069262909118048	0.40578654480904935	0.364163398753043	0.3678368830025893	0.3716076398108415	0.37897385007628265	0.40050335003131465	0.30332363880830393	0.263994967628211	0.38174431065561654	0.3594000153800983	0.2796316589760376	0.40059027887593723	0.46996506983703507	0.45218729939582025	0.4775830118053132	0.42391351043772574	0.36819341263275246	0.3001693731597985	0.38964576104603627	0.31394158873833233	0.3264377539237149	0.43848342999065026	0.424776844794372	0.43360394989540596	0.4708547627094856	0.44475234654058665	0.45444325164168475	0.45544662991023305	0.4429880279849009	0.3934228968467791	0.4592808179568492	0.35563580783879273	0.34150655167729776	0.3883365977581643	0.3898920200431541	0.374000708668855	0.39593934217145615	0.40104128918196086	0.3888800390712727
spaGCN_1	0.42820892443899783	0.44868588708435747	0.6201299209325276	0.4476856832655592	0.0	0.6389479332589683	0.8821435445043202	0.4589961190020796	0.4650522780339016	0.3908213343276093	0.38625401498916717	0.35609291864848885	0.3830919325277628	0.31994163475017806	0.337889705436131	0.3338736583513438	0.407691339791607	0.4847242769292946	0.45387576991111767	0.4226836027111794	0.4741351200427767	0.1923504025190091	0.42944774458970464	0.4740603325504243	0.40472612953666215	0.42024377017721226	0.4105470994244869	0.44700908077870194	0.41392462368214483	0.3226887708009707	0.25547913936522043	0.39499733742023063	0.3951416966230689	0.2842711264571977	0.42140774442244966	0.448086392094464	0.4473317409833913	0.45338055526400073	0.37964277697888643	0.3095437826971698	0.3973359671485491	0.43989288174437247	0.36369719795981675	0.4228571692402918	0.4457084423933602	0.4913157194044454	0.41808982050509647	0.40610111611188415	0.4313878234223625	0.4368647289748215	0.44174300587301357	0.4388279268439134	0.3911197085102842	0.4451168085357744	0.40508191996605164	0.3714975752998235	0.44764638921390454	0.4232761509016805	0.42035702097511746	0.41459857158166125	0.4490201470130929	0.3944659186960592
spaGCN_4	0.4500953215542208	0.5063833579330872	0.9199830270413271	0.48217373754560067	0.6389479332589683	0.0	0.6249864826648731	0.4912296882888663	0.5307125644268992	0.3833576144406857	0.3873713152631571	0.3554275611289261	0.3884138375628491	0.3059095864780916	0.3316859922805916	0.3189465482061733	0.3772413495432293	0.5271608035307611	0.5067807531472268	0.4852341366706033	0.4492256919965216	0.19449922824627527	0.4339551893139674	0.46053484283664925	0.40849696871508023	0.41471899470905627	0.4422093696565328	0.4472365623377765	0.4282710618236252	0.2890701940988013	0.24668972206124326	0.40814308832691376	0.4362227263999733	0.2661802554258613	0.44642013431227506	0.47046116725315346	0.460580686719059	0.46491523980592697	0.38186045289560633	0.33643684586882977	0.3700490036597082	0.4360953384822169	0.31279543473417076	0.43341408971570833	0.43379822117064865	0.4714769192955769	0.41452714074581987	0.45077566318696644	0.440275430711878	0.43776121544304997	0.4395571236307065	0.43438365465413487	0.4489621746191425	0.501311222795056	0.46352952705293643	0.4098187982403244	0.40693035425838414	0.42704678148795533	0.4432763178071692	0.3898024399053671	0.39940637960156866	0.41487781334657453
spaGCN_7	0.4201204733189915	0.4395334381562118	0.6409487759924336	0.44738240058890616	0.8821435445043202	0.6249864826648731	0.0	0.46974956509980825	0.47610753442029835	0.40340287129502844	0.3908214979633625	0.35374223911982683	0.4004425345007792	0.3084196532278512	0.3251596306803632	0.3197744748303644	0.42245566711567956	0.5152516935043512	0.47931614967090014	0.44694009282540387	0.5048272969904084	0.19445304165686456	0.45627667606156974	0.508623030196957	0.4184424761678396	0.4480548381335761	0.43447866128304946	0.4809168542864396	0.40664176258989304	0.3257285603319313	0.26560282324766665	0.3900680255978408	0.4152975223414291	0.29568517282872536	0.44074186514359687	0.4685460011965979	0.46885643198583665	0.4754535003372209	0.4048134070002102	0.3270771991654962	0.42224462199731155	0.46250820304070256	0.3836278203349177	0.4620788253916544	0.45397478003183833	0.4958879219307716	0.42585609467208035	0.4062167930347149	0.4225061264922819	0.42346702004098896	0.4277513580980778	0.4237371750687121	0.40250450164416085	0.4592414050383189	0.42473171304049284	0.39567185664489163	0.47424077645934987	0.4150666762995297	0.43771367469595435	0.4005190704970168	0.4600243595058223	0.42653235077592583
spaGCN_14	0.4486125954171389	0.6265677939100851	0.49111959247920495	0.9125959755609794	0.4589961190020796	0.4912296882888663	0.46974956509980825	0.0	0.6728140350887223	0.3448787490164918	0.3678002963490767	0.3334392122495583	0.3158997621559293	0.28111792582799955	0.3107943107448246	0.3047751410817062	0.38589362200584765	0.4864493431600257	0.44084021349402913	0.5041441245971289	0.43123844733959893	0.21730176409454374	0.4214791449507808	0.4179261562593265	0.37945819851823587	0.38650168525494544	0.39202793141722503	0.3996364268958966	0.40520392790168824	0.31138494281344375	0.27302747821754486	0.385959905838085	0.3757384119447322	0.28835299596001857	0.4129933376383548	0.4918061524731808	0.474738869211606	0.49567005650308416	0.44976050856706945	0.38300996575971175	0.3114547227492388	0.4099877059759596	0.32399564021072375	0.3409186498957347	0.4442333457648088	0.42890394104443985	0.43821067774992256	0.47967902478249513	0.4434008393933581	0.4487410576690104	0.4496556890187415	0.43960008742170004	0.3964913454069813	0.46376084382648297	0.37118128925988403	0.35929210847836535	0.3965254048153108	0.3829657769761719	0.3926343621102818	0.3982368476351603	0.41487299435195535	0.40470227546963616
spaGCN_13	0.46018513140914247	0.8425390171495006	0.5284042863240138	0.6471264935294874	0.4650522780339016	0.5307125644268992	0.47610753442029835	0.6728140350887223	0.0	0.38004179594107707	0.3941357675393401	0.33115686629783214	0.347831486391098	0.28815394029879166	0.3286741723723588	0.3116656585732969	0.34241283280168655	0.4935189815720178	0.4668260115635308	0.49368321395842674	0.4395047038579782	0.2091013006354707	0.40958863192865125	0.409482010537805	0.37276755961852054	0.3684182143135585	0.41798677607183143	0.38422609052139794	0.3909905618793711	0.3165856401632539	0.2754946489077933	0.3630311006275785	0.4164153817949953	0.29546005150134136	0.4002352038090373	0.4626070135187316	0.45153298879246256	0.4734182860897777	0.4118216046919308	0.42575464702060306	0.3053746976574316	0.39821882302785555	0.30423303426820686	0.34348710782358916	0.48713010623896075	0.43532012233053213	0.46722757587520036	0.4976995001787217	0.46838187726625347	0.47375846509123476	0.4755419264537876	0.4606165107212054	0.39592413269904164	0.43232069272546053	0.41588280673258177	0.3554465375598105	0.3625719872079801	0.37722672183032147	0.39344895889085085	0.4147414446952868	0.4057221867592706	0.4000228372827958
stardust_2	0.326665822458209	0.3589410455081629	0.3922647977769174	0.33724129430495586	0.3908213343276093	0.3833576144406857	0.40340287129502844	0.3448787490164918	0.38004179594107707	0.0	0.5092357220696045	0.542424325131684	0.8191275955236155	0.2217860985935467	0.22124712098309185	0.22875827210418334	0.3187899183376491	0.38651583579325793	0.360624542272693	0.3387892307575486	0.34766001168104055	0.180296450254545	0.3746214567634665	0.3678606317207492	0.32692041564206004	0.3375904661671275	0.3476098793806234	0.34560681388005	0.31408299206101803	0.2559993046733263	0.26288438654445945	0.3026047746905047	0.3313865543765692	0.27356319093827597	0.38958257483777087	0.36208177109089706	0.3854207313500765	0.3648337839129891	0.3252882815291549	0.31573972320421156	0.2794974005161359	0.3579968973626894	0.23684762881227614	0.3942119449680628	0.33761852297777384	0.41318610473426515	0.32668678843886667	0.3149248196403636	0.36284415363742994	0.3742376660734423	0.3773680940753325	0.37759974234436555	0.3479404538106309	0.38588197303591865	0.32108809883172246	0.3763985591659174	0.32502454589693197	0.31819460958976614	0.360522972793765	0.3090520399472745	0.30529144511772166	0.43346055968015607
