	Br8100_151674	Br5292_151507	Br5595_151672	Br8100_151675	Br5595_151670	Br5595_151671	Br5292_151509	Br5292_151510	Br8100_151676	Br8100_151673	Br5595_151669	Br5292_151508	visium_breast_cancer_SEDR	sample_D4	sample_D14	sample_D7	sample_D10	well09	well01brain	well05	well03	well08	well07	well06	well11	well10	C57BL6J-638850_6600	C57BL6J-638850_6400	C57BL6J-638850_8000	C57BL6J-638850_7200	C57BL6J-638850_6800	C57BL6J-638850_7800	region_main
BayesSpace_1	0.41989566996537925	0.6040383159154858	0.6513083118211146	0.5511191200084311	0.522016422784053	0.6964990443191912	0.5836811813041761	0.5650363985213368	0.5443613172219494	0.6595544343823665	0.5082465412131539	0.5789689094844981	0.6729145328014735	0.509265559483705	0.65139869837303	0.6291858861815169	0.6488536863148848																
BayesSpace_scc	0.6449966282481235	0.6105375744890922	0.6666582806382284	0.4727762938786383	0.6300807508720131	0.7020575493960017	0.608149471134086	0.585230558109746	0.58190613639667	0.5709277575791124	0.6362126545671276	0.5473077053339243	0.6899556147170836	0.4922496144590538	0.6917999420064679	0.6192746468297616	0.6535271575521386																
bass_starmap	0.6862948974524083	0.6475229237369724	0.6437353059318149	0.6631490640177612	0.6147833667423834	0.7125532971546975	0.6337934248945438	0.6364823737758688	0.5211252403539455	0.6759609539966805	0.6435175607340755	0.6349264253678466	0.660564767065748	0.4334309444621221	0.6539991803507815	0.5879910507376613	0.6424572195354344	0.7454421422773578	0.6157661155091636	0.5888607620061972	0.6903386585150582	0.6032176266459985	0.6262928133171016	0.6135022167871698	0.5313402919828518	0.7440661191074398	0.5971069607458395	0.5436119339753733	0.6134582004453901	0.5623146786724905	0.5914648761450629	0.6276136764496694	0.5476496972597414
bass_default	0.5915357598609088	0.6221789855073123	0.643183006229834	0.5991081183268536	0.5281763932705779	0.7058443052364957	0.6431549410123615	0.6211975025822519	0.5730845591578173	0.6569703563567958	0.6467094665223426	0.6381396686328117	0.6820867247486423	0.4170542617047162	0.6576377642334448	0.6291624074296793	0.647004416922701	0.7563379959478342	0.6221261558738012	0.5865803334926685	0.7031587776582658	0.5866797712135576	0.6094767680575949	0.5926762577961014	0.5320136335565477	0.7399747805804775	0.5997966408040093	0.5551752301708303	0.6585179874714473	0.6531285233759756	0.6301527598125343	0.6465273579103745	0.5910849214567147
bass_dlpfc	0.5064672092521343	0.6762819092103299	0.5760439593085456	0.6419921685402037	0.6393904754372914	0.7017072968932906	0.6866566716389361	0.6698533426819343	0.6625208222318223	0.6924142627395445	0.649666033524552	0.6170075635009666	0.6688119750232421	0.49547223543550406	0.6218574240914675	0.6402166665213547	0.654248389569135	0.7568936112814219	0.61502594195089	0.6437334718727032	0.6783137540518677	0.6289622951039626	0.7282312124696085	0.6607028128311567	0.5847504622948189	0.7456522746016367	0.6018182263982731	0.5641771200102342	0.6513526874674315	0.6153639396528929	0.6044830845372041	0.6336872446467303	0.6100461168400162
bass_1	0.5262573862237819	0.6615400348260957	0.5827281929394161	0.6182815873492505	0.6427213999795534	0.6870302432988217	0.6758653622633117	0.6582824034228987	0.651221388797295	0.6830823425808317	0.6382988035481731	0.5925430440264361	0.672514797373145	0.48168754732303537	0.6497476690870516	0.6645783481793138	0.6430600919058305	0.7372485932580821	0.5679541209104154	0.5975866786580024	0.6356437154095864	0.6060227048467066	0.677612772613659	0.6293937180589164	0.5568502545446066	0.7209309878884037	0.49165020891936795	0.5098037768716808	0.5380554473369286	0.5231335506979563	0.5183447601472999	0.49013206415543425	0.537289884471226
spaGCN_default	0.5611953991690136	0.5987533109507043	0.5181104275694478	0.6072946332861877	0.5436918234748437	0.6656958078171771	0.6326437498607118	0.5931872487082421	0.515792825848223	0.6153765467695703	0.49987852754125417	0.5856284242144413	0.6845621402622013	0.4358843625679829	0.6815345313533806	0.6236248508302485	0.6223884127611535	0.6745523169712387	0.4004135393806562	0.38944620906563016	0.4287289159465774	0.43969261856968755	0.36231692849643876	0.30499756674542783	0.3957077281235722	0.6200796936552335	0.39869988016741986	0.43458876252980166	0.458125620678686	0.43189608556935016	0.3844447004900919	0.4390862681571689	0.3440650036514982
spaGCN_2	0.40544091051485703	0.5738122320675016	0.5575180262579476	0.525077203312485	0.5498397131693441	0.5449983308497981	0.5724725747793226	0.5719910452115441	0.48347407715907287	0.44752586063122773	0.5408673617834578	0.5243004510740893	0.646094723096753	0.4595384132308218	0.6264287085611011	0.588917641066981	0.5708742489703765	0.608672404193582	0.2905122177999996	0.32827357672072743	0.42721965639204124	0.46128272039249785	0.3623874650201183	0.3218409748586323	0.3120370268825707	0.6004255192102053	0.40803195845534235	0.42379653003042606	0.4430518105558439	0.3830696909275172	0.399908463004531	0.4608528163234634	0.29124745058412455
spaGCN_3	0.38813043723175145	0.5415179744095684	0.5175426271902195	0.49356379285901475	0.5056539697704228	0.49767408080960773	0.556552054672843	0.5493641856164034	0.463949058344591	0.41862910021496014	0.5022169601958182	0.49833561499191936	0.6428149108229637	0.5123059844876626	0.6535564467312531	0.6118332430039496	0.5856058421950469	0.608672404193582	0.2905122177999996	0.32827357672072743	0.42762967065822555	0.46128272039249785	0.3623874650201183	0.322775503244746	0.3120370268825707	0.6004255192102053	0.40803195845534235	0.42379653003042606	0.4430518105558439	0.3830696909275172	0.399908463004531	0.4608528163234634	0.29124745058412455
spaGCN_1	0.5406081852526535	0.5743886572695801	0.48775460710624197	0.5728970066635899	0.5095558613941157	0.6345979301726057	0.607904146818058	0.5694683249619863	0.49883484325152827	0.5760137192726796	0.47330303895120807	0.5510818628888906	0.6719022503010834	0.4495698350608817	0.7073971814530963	0.6525550955234101	0.6357694274204518	0.6745523169712387	0.27126915520814826	0.38944620906563016	0.4287289159465774	0.43969261856968755	0.36231692849643876	0.30499756674542783	0.28493702496544426	0.6200796936552335	0.39869988016741986	0.43458876252980166	0.458125620678686	0.43189608556935016	0.3844447004900919	0.4390862681571689	0.3440650036514982
stardust_default	0.4124944878613182	0.43320849887631957	0.43899570969752433	0.40261913532378557	0.4169534367594351	0.41957322653693196	0.42214512674355603	0.45089784489285495	0.39105269291645217	0.3932782304710981	0.40562840512249154	0.4059684322784021	0.6538955821137628	0.3163760168076594	0.5977126947281128	0.40339611166676825	0.5158776195870355																
