	Br8100_151674	Br5292_151507	Br5595_151672	Br8100_151675	Br5595_151670	Br5595_151671	Br5292_151509	Br5292_151510	Br8100_151676	Br8100_151673	Br5595_151669	Br5292_151508	visium_breast_cancer_SEDR	sample_D4	sample_D14	sample_D7	sample_D10	well09	well01brain	well05	well03	well08	well07	well06	well11	well10	C57BL6J-638850_6600	C57BL6J-638850_6400	C57BL6J-638850_8000	C57BL6J-638850_7200	C57BL6J-638850_6800	C57BL6J-638850_7800	region_main
bass_1	0.4771012506715521	0.6080246770058663	0.5725865190694021	0.5736188721990939	0.5890859480557897	0.6526848837931359	0.6238552256609928	0.5789293253762892	0.6115280194790914	0.6172075944686124	0.5922938292315417	0.575732305520349	0.609595076880352	0.4838938223248871	0.5232615375077002	0.5590353278607437	0.5028188697935966	0.7558181272109308	0.5052149186982077	0.7240220924651221	0.5961203520690771	0.5994246718090749	0.7273796792635292	0.7426461516702856	0.5600439135558608	0.7677832495567608	0.3508683862957496	0.3987454949489097	0.4642501714524503	0.416123814034625	0.3818862927943468	0.38067630400050967	0.45071707027159896
spaGCN_default	0.4871764005874971	0.5988737441829372	0.46208771715771324	0.546283972187479	0.4706339429138631	0.6568243640940452	0.5817521652588277	0.5879089597187197	0.45581489250586	0.6096525722813108	0.4852916676642846	0.5682272139233593	0.5636476198714209	0.4740792653271444	0.5458905516370709	0.5648456536046584	0.49416952989909885	0.7076540287939518	0.4307978549327468	0.4332269177616469	0.5432871719925514	0.4409168144290239	0.44217721790795134	0.4021182719224399	0.44796775284634793	0.7430243738060556	0.3080351073058964	0.3057752502594548	0.4051455197532352	0.3321807240322137	0.3157611844926267	0.35412922859290225	0.3019130624011786
spaGCN_2	0.3722578197999261	0.5466003941755803	0.6555521074765036	0.47604330369650627	0.5699579404987454	0.5801386749778883	0.48576561410355923	0.48979736216785297	0.4376942750847735	0.3962566336650387	0.5340302651234581	0.49293115173287827	0.5633209029682915	0.5540223048601377	0.5668046291913008	0.517486102681526	0.48485096226767777	0.5249974551016431	0.3778216343178232	0.4338284172761461	0.46287095910520326	0.45511308504322157	0.4408462413164992	0.39717734038709646	0.3911001585967557	0.5348917354832582	0.32892515547964796	0.30637840422993684	0.36561451124379435	0.2813586443822387	0.2892194300893427	0.3765101137571075	0.2887805310315548
spaGCN_3	0.3631796932363314	0.518405427242633	0.6184456030900215	0.4612255395681262	0.5452404711237562	0.5524531138109134	0.4782526236082969	0.47806264333699994	0.426946997014857	0.37872458150548455	0.5197851742809627	0.47826275173268584	0.5613271930273271	0.5632514795315242	0.5718815822896836	0.5240817362996617	0.4876057990195448	0.5249974551016431	0.3778216343178232	0.4338284172761461	0.4638656784980845	0.45511308504322157	0.4408462413164992	0.39770200925106136	0.3911001585967557	0.5348917354832582	0.32892515547964796	0.30637840422993684	0.36561451124379435	0.2813586443822387	0.2892194300893427	0.3765101137571075	0.2887805310315548
spaGCN_1	0.47721671096536306	0.5820951608116308	0.4515863679189831	0.5241396181028989	0.4636995545778716	0.6412741450601355	0.5664442062703776	0.5795945830538888	0.45069938615673477	0.5823763426760354	0.48127783518138356	0.5434972271909759	0.5547155197545504	0.48779507089511404	0.5549938641807036	0.5842803729932101	0.5057314786380499	0.7076540287939518	0.4101957071789408	0.4332269177616469	0.5432871719925514	0.4409168144290239	0.44217721790795134	0.4021182719224399	0.3986547133787547	0.7430243738060556	0.3080351073058964	0.3057752502594548	0.4051455197532352	0.3321807240322137	0.3157611844926267	0.35412922859290225	0.3019130624011786
stardust_default	0.3837393894396528	0.4843309608736501	0.5060810257740671	0.40122840903460855	0.46702066832866707	0.4951726234728327	0.40553093493451764	0.44183771348824896	0.35806663299789926	0.3854450670542235	0.5064163155051107	0.37045855281599926	0.4838117812820188	0.3766926999751438	0.46039276413001784	0.3148519631193531	0.41182508720293576																
stardust_tutorial	0.4049567039229195	0.4782902368313856	0.565272127445152	0.34770814680709716	0.44961046993357034	0.4594659016089471	0.36424775744956844	0.34413104349193374	0.37480411867518193	0.37751076795215255	0.47795339305242734	0.44784321624809775	0.5418143303027405	0.2630289808055539	0.4529051565339196	0.2615624529880311	0.34746849428142873																
stardust_2	0.44585882949553746	0.3451629141623144	0.5694876599429995	0.36184070146765984	0.46742812195560723	0.3913048589251579	0.34074387617791496	0.30689030895560326	0.399801787385515	0.3625560267830089	0.391002827362207	0.3843004375464156	0.5370451603718829	0.2597802700756967	0.4290612523124632	0.25140632622905373	0.31037930264769314																
stardust_1	0.3832847964829273	0.49089189430775915	0.5054344358895085	0.40105856981096966	0.47325083256652883	0.4586119203150608	0.390806945360749	0.44352631661511627	0.4071279080244918	0.35781225507407977	0.5158830967079231	0.38580337432087575	0.5179126112426179	0.3289805458733348	0.44046227948825933	0.29962545632310617	0.3852945248776887																
SpaceFlow_default	0.5350521763525264	0.5617520340280607	0.6323685188355928	0.47916345839827407	0.48146018961681336	0.5493209661600563	0.4401572075834543	0.39531545178795086	0.4431115915020957	0.49092618590544906	0.4644652857502904	0.417438028593642	0.5271024579203171	0.3832764700107173	0.47240782343595833	0.4210217446506512	0.46093162853475583	0.6864955915893015	0.4406732318830535	0.7883789376324506	0.7350514645846222	0.5455408130166942	0.6779869632919572	0.7178757804975707	0.5813623486830288	0.7047058758041368	0.44135071215357885	0.4343953168710753	0.4908531765221367	0.47934586996799	0.5089697162130612	0.4766891337116641	0.5814592949558608
