	Br8100_151674	Br5292_151507	Br5595_151672	Br8100_151675	Br5595_151670	Br5595_151671	Br5292_151509	Br5292_151510	Br8100_151676	Br8100_151673	Br5595_151669	Br5292_151508	visium_breast_cancer_SEDR	sample_D4	sample_D14	sample_D7	sample_D10	well09	well01brain	well05	well03	well08	well07	well06	well11	well10	C57BL6J-638850_6600	C57BL6J-638850_6400	C57BL6J-638850_8000	C57BL6J-638850_7200	C57BL6J-638850_6800	C57BL6J-638850_7800	region_main
BayesSpace_scc	0.6411721293744597	0.6432815561085475	0.6983205719140245	0.4828489635622177	0.552643175977299	0.666369368195443	0.5802538112738821	0.5642411720895059	0.5831538617841906	0.5633930632406655	0.5815200608729961	0.5464127500651269	0.6676245659279443	0.4937938114652911	0.6094050132010929	0.5727485472718811	0.6022556767341619																
bass_starmap	0.6814625613425185	0.6451958510366727	0.6801290322722753	0.6606922999370187	0.5335242498853175	0.6841962283372546	0.6032503706587398	0.6055372319664142	0.5234004162939078	0.6675708725192856	0.5761233119666047	0.6374201965592725	0.6833939218699744	0.40922384384919125	0.5970758678455422	0.5731374193657685	0.6060553167560585	0.6642379103438331	0.43276292897112506	0.6463900191133636	0.7213492758252862	0.5841111125891276	0.6194635144591777	0.655398194838879	0.5638905392529326	0.6717890617801084	0.5526527627498887	0.5140974667644893	0.5578924948136629	0.530701394137908	0.5471285978511181	0.5713499848777841	0.5143569201068514
bass_default	0.5861660289838462	0.6132068875553995	0.6792428326959499	0.5963004390049348	0.4516253427095129	0.6655649192346818	0.6138526972827145	0.5866265981712623	0.5767436317265443	0.6441150092684869	0.5783862030524717	0.6380008701879466	0.6801693767856131	0.3931690999624875	0.5772304596742873	0.5928367428552597	0.6152813925081652	0.6738367046803608	0.4419510706656863	0.6364052568424438	0.7333420564589883	0.5496448470284555	0.581948602659784	0.6165919643240294	0.5983250402452999	0.6682733864908453	0.5492017415112145	0.5195105394678048	0.5976313740364556	0.5926787579097454	0.5696607089143133	0.5944719409649124	0.5490406614067962
bass_dlpfc	0.5016053824629133	0.6720117230649452	0.5925457045437176	0.6675643473258532	0.5558259551132886	0.6662498993817781	0.6589936462662089	0.6348279635032147	0.6614751801784089	0.6937327063438319	0.5879725315732823	0.6170776419866199	0.6751825758524523	0.4600560621647379	0.5250117434795013	0.5887607067701843	0.5949710840415043	0.6669668345978972	0.43211422617160855	0.6751723254203722	0.6186894489308739	0.6174030579480655	0.7140580940548575	0.6889930744521997	0.6155540225097152	0.6612999609032065	0.5337901953472153	0.5335432981161874	0.576338275879939	0.5583413441383608	0.5426089904845397	0.5557848298573228	0.5609482607762198
bass_1	0.5203330052492198	0.6551822028223512	0.5947074149961641	0.6239995100271594	0.5579198639566421	0.6488068365290341	0.6487372070460572	0.6228448553374611	0.6481569996842508	0.6734597821968888	0.5769298460566028	0.5938320130008514	0.6691735519656399	0.44608081589074716	0.5498165244878347	0.6084755694342657	0.5717075229128398	0.6483421729595459	0.3934211625008032	0.6234850217059511	0.5772404057713247	0.59351534625739	0.6572640981490737	0.6544011438064601	0.5858745149811847	0.6342563553228241	0.43864867419197073	0.4744906719977828	0.47748721255018883	0.4685293364601644	0.4613182674728958	0.4378971807342329	0.4942779877209797
spaGCN_default	0.5400490561146976	0.6543309416283529	0.48290157130103883	0.6057979204834582	0.4461447167790407	0.6335045977609219	0.602528823371059	0.5878597784852276	0.5100579591121255	0.63048728135325	0.4852117605976377	0.5912305460064056	0.6704735314791757	0.4119803553516496	0.5825698142847205	0.6002640765816074	0.5482185107144614	0.5655109050412749	0.2758843540115109	0.4274027716208236	0.4165046423963084	0.43460524054005045	0.3467589099736677	0.34862803986749286	0.4450194299994041	0.5981475230494139	0.37457070965040706	0.3980669006463735	0.4222441244914294	0.3903560901098445	0.36175654083034103	0.39974284733605064	0.32715196561114696
spaGCN_2	0.40734067467291707	0.5775220579973752	0.5628030078302958	0.5302805259752101	0.5002631801976055	0.5164797676325048	0.5413325029704633	0.5403912181161596	0.48171346743011956	0.4421346419615481	0.49768401528365086	0.5163227742453576	0.6366233167078553	0.4421516889958033	0.551764434020515	0.5523789098442533	0.5256960350505107	0.4977479638609087	0.19533158878526555	0.36582236072764507	0.3875562672133273	0.43915580544743515	0.34646230212891066	0.3450171040393264	0.3384242294032364	0.5025477325334743	0.37176532331267303	0.3903157234051153	0.3930003337819118	0.3450844265636011	0.3648669677557351	0.4118674861878546	0.2788565334978851
spaGCN_3	0.38908525905723235	0.5440346851568215	0.5206980152605426	0.49692093278109334	0.457264294505199	0.4712121544779532	0.5259687840231835	0.5188208246289776	0.46152215449480133	0.41300676534318287	0.4594935902273864	0.49037526943419285	0.6330405150830779	0.4868990843438594	0.5734414315748755	0.5701201244243681	0.5361807481838818	0.4977479638609087	0.19533158878526555	0.36582236072764507	0.3877131471048244	0.43915580544743515	0.34646230212891066	0.34614579789670596	0.3384242294032364	0.5025477325334743	0.37176532331267303	0.3903157234051153	0.3930003337819118	0.3450844265636011	0.3648669677557351	0.4118674861878546	0.2788565334978851
spaGCN_1	0.520140099038955	0.6276678134982844	0.45482837394052555	0.5711171957544547	0.4172792819867214	0.6039465033008324	0.5759250402666698	0.5647805883018924	0.49312033866722066	0.5871836789456192	0.4585185607619909	0.5563125109129957	0.6571968223919138	0.42368866772024805	0.6011248033916475	0.6268904412529245	0.558541378962327	0.5655109050412749	0.19901288994068103	0.4274027716208236	0.4165046423963084	0.43460524054005045	0.3467589099736677	0.34862803986749286	0.33785812233739726	0.5981475230494139	0.37457070965040706	0.3980669006463735	0.4222441244914294	0.3903560901098445	0.36175654083034103	0.39974284733605064	0.32715196561114696
stardust_default	0.4107641502139519	0.4348714107231129	0.4365105895966123	0.42545437924946544	0.35740353187979224	0.4005173285115975	0.40630599764343234	0.4283831101478407	0.3940464362686156	0.39264730075400217	0.3714770123864469	0.3993740915459274	0.6340356237346927	0.295292872473344	0.49896677999166633	0.37191681619261646	0.4523209185791459																
