	label	spaGCN_6	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_4	CellCharter_2	CellCharter_3	CellCharter_1	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_1	SpaceFlow_4	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_13
label	0.0	0.38646046539037804	0.3389533489765263	0.29546411986361176	0.29280220098387316	0.25221600182651777	0.20911400814000888	0.19727971346814183	0.19916470540066467	0.36206570037898295	0.5068741164682158	0.35570159155379716	0.38007365686263794	0.3431656435790937	0.3401895449791266	0.3279819242916485	0.32131108917491874	0.3615619839422081	0.33961795069687456	0.3015156700309352	0.3293080860695164	0.2740473527629226	0.38432003835800665	0.43787476693304783	0.2311382083125405	0.17354485850169538	0.26216090386501206	0.2040807206344088	0.19180462439869178	0.23993090425589267	0.19414885870265694	0.34369413745334865	0.47004461162122047	0.3206835575771401	0.43901738783104927	0.29279238949621433	0.2963051161729413
spaGCN_6	0.38646046539037804	0.0	0.7097744410328867	0.6080465007041118	0.5370759938705292	0.5102994400097998	0.3806255210397881	0.4237987502355135	0.42789087967771183	0.5545377653992715	0.6594601097789414	0.5762401191012679	0.5566502945048871	0.44849321650310076	0.46408284617777873	0.4496499336773763	0.5328719043995139	0.5999714315321768	0.5706512805063759	0.5510224001862815	0.5297575302985554	0.5088052325120306	0.547154849866733	0.559865619306686	0.43752577340688154	0.304140525514596	0.3024068210779316	0.3328143908717157	0.2980205425879156	0.5010140723724126	0.41558969858362177	0.5531313000582319	0.5358419811971482	0.3114771476670836	0.5557269951705859	0.40628215996106304	0.5187613126168557
spaGCN_4	0.3389533489765263	0.7097744410328867	0.0	0.5866576338575816	0.6331085823040212	0.600479476969314	0.4009798228489778	0.42051104504043374	0.42277266959045645	0.5696582577280684	0.5745943998079162	0.512964817600528	0.5505543436047876	0.4781628680983645	0.4683079581224933	0.46921890342845446	0.5409047298887375	0.6351169792396018	0.6060905018528612	0.5867684477508274	0.5286591484518434	0.5060050068373573	0.5375237617067355	0.5329744934601643	0.43261185155866977	0.338881644374485	0.2985641948029765	0.3717730494064431	0.3329990697828196	0.48883517855831077	0.4459642400066335	0.5698352736242019	0.4656551860963963	0.29598261588773367	0.4743493905438572	0.42016973003305486	0.5088262661536729
spaGCN_7	0.29546411986361176	0.6080465007041118	0.5866576338575816	0.0	0.521756195177317	0.6991787926499174	0.6027780587016217	0.6917663613981989	0.6937490904987321	0.4452350010808591	0.5179848314732465	0.5598580929107442	0.4310918399618772	0.3576224223372264	0.36945367192356326	0.3546236728312537	0.4660693546621765	0.527605366931261	0.5221063862441271	0.48413917818184055	0.39167031658156404	0.38947455179607426	0.415374726938012	0.4338491829319731	0.5208946801646125	0.5014922303718473	0.4862663770848664	0.5219720605725403	0.4945601807986692	0.7013871677118386	0.6612025136032643	0.43411039066180146	0.3840560275499249	0.2481762873575694	0.4150633712874812	0.31108268382272514	0.3844760498076295
spaGCN_14	0.29280220098387316	0.5370759938705292	0.6331085823040212	0.521756195177317	0.0	0.5798699832425588	0.36063535625407855	0.3795699028786685	0.38302200434789524	0.5189798549204523	0.4790173906572803	0.5006342341799234	0.5159055771929973	0.4421581707769785	0.43161131113538914	0.434231447430026	0.4843672554229241	0.5166779904825494	0.492928983660602	0.5142994541911636	0.4724301878728225	0.44782569184950216	0.4522444900518295	0.42663421144337316	0.40469265205856453	0.3002284465702603	0.2632617228807004	0.33234418887841466	0.29115625781651494	0.4357602800698037	0.4010994337526434	0.5143959818113438	0.3912123165724632	0.24091238226763717	0.44532791872694566	0.37168030791714307	0.45942224017105393
spaGCN_13	0.25221600182651777	0.5102994400097998	0.600479476969314	0.6991787926499174	0.5798699832425588	0.0	0.5418158383315791	0.5591268398355208	0.5594319820144835	0.43224571556647773	0.4360069541648971	0.4708458007586313	0.42841736844981604	0.3649927967482329	0.37290793712274367	0.3612229720997688	0.4566758751329432	0.5019503363595949	0.4936323850856736	0.4683939729462272	0.38683890789600556	0.39109209739600104	0.4015569110614282	0.40397175150066034	0.4614019186213167	0.44944276301399294	0.41080802526343996	0.4811540412688164	0.44926855185958187	0.5581917815265576	0.5696574672531786	0.4123276645551299	0.341857820505444	0.2295424767987841	0.35447811454516304	0.3032603726684086	0.36670164073956446
scanpy_2	0.20911400814000888	0.3806255210397881	0.4009798228489778	0.6027780587016217	0.36063535625407855	0.5418158383315791	0.0	0.8473493424920403	0.8706872902529804	0.3020230875025537	0.33758927277443135	0.3906185710841217	0.29160407681853984	0.2389336391974729	0.24890106098137416	0.24690142081529687	0.3848488507217228	0.3942446450262667	0.4079153723759428	0.38433200378669946	0.26095918729447154	0.29099608736716576	0.2861957764712804	0.3039362179762042	0.5025155005589492	0.68204681862911	0.6709920207594374	0.7071938616473937	0.7120296861455258	0.7122136397860973	0.7720706311223684	0.28088595259263704	0.24308552974093978	0.16710577255879505	0.25280787465462135	0.21137889558327808	0.2556752816099599
scanpy_3	0.19727971346814183	0.4237987502355135	0.42051104504043374	0.6917663613981989	0.3795699028786685	0.5591268398355208	0.8473493424920403	0.0	0.9527849231228289	0.328750763508712	0.3661889798534001	0.4461833991916987	0.3118735790571188	0.26060057673280795	0.27745146585655767	0.2682770893470855	0.419662697622916	0.43614102290050943	0.44946000518998996	0.42400090382488165	0.29241283376188343	0.3206290445321478	0.2980622202648644	0.31164488308981086	0.5288778006702061	0.667194029863858	0.6400991523371966	0.6858996944760454	0.6630640377809538	0.7962460797259551	0.816364271671802	0.31595824847570897	0.2709935625256525	0.1796890314778013	0.2952778076441839	0.23131611179196868	0.28433713427065893
scanpy_1	0.19916470540066467	0.42789087967771183	0.42277266959045645	0.6937490904987321	0.38302200434789524	0.5594319820144835	0.8706872902529804	0.9527849231228289	0.0	0.32832471763962845	0.3792563579002048	0.44700365615188836	0.31530952730582845	0.2627129986010421	0.2793378484971028	0.27174227130259493	0.4186062725210897	0.4363372051271171	0.4495765511487355	0.4229628259788203	0.28960890766579905	0.3193284015116637	0.3085586620142061	0.3258614490127423	0.5336966695070581	0.6705452991928569	0.6360405065743769	0.692697335746579	0.668412151106193	0.8109484593925572	0.8351202208182871	0.3176272733966953	0.2727836610154277	0.18019206860096176	0.2982017938360226	0.22992558037289393	0.28714707647218696
bass_5	0.36206570037898295	0.5545377653992715	0.5696582577280684	0.4452350010808591	0.5189798549204523	0.43224571556647773	0.3020230875025537	0.328750763508712	0.32832471763962845	0.0	0.7056493466946699	0.6189522080132075	0.8205948087335835	0.6544944694587861	0.6234077916251661	0.6117707080952488	0.5545650580676215	0.6166845052848997	0.5824353400101079	0.6130436373580859	0.694792918680217	0.6240071211990245	0.6528028886637367	0.5946379101170205	0.45291954858852485	0.24907127803078358	0.21754392205387296	0.29134619193710476	0.23800254513778113	0.4114929806958463	0.35772039074924733	0.7512245635825505	0.5457829469276197	0.371320074441943	0.6195386251204172	0.585633917786689	0.6554000888991619
