	label	spaGCN_6	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_4	CellCharter_2	CellCharter_3	CellCharter_1	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_1	SpaceFlow_4	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_13
label	0.0	0.33072805390634835	0.339039219473843	0.21724429036033263	0.22428391136164716	0.21828183086879877	0.19393189441923714	0.19742156630243432	0.1975954574148337	0.3890687041322025	0.40554011590325645	0.31665182869985464	0.36220570054980505	0.4436897706988312	0.37040809900356786	0.360549533230806	0.2802664048227146	0.3882279143324238	0.40695367467969834	0.30118134530910634	0.23180661406465394	0.3066690522693094	0.35469564296480316	0.37593415184659823	0.2568010322862154	0.198953955550199	0.1910629499357123	0.20101915286274957	0.2119779547985765	0.1648433523506888	0.15658980996093846	0.310930817079119	0.4427716820320269	0.3950389574360688	0.38516646218622885	0.26012043854289174	0.2853216555945958
spaGCN_6	0.33072805390634835	0.0	0.9275089677918206	0.5581231290437536	0.5621654790618689	0.5040750915423456	0.3611209448303987	0.36815011456930596	0.36509798174145836	0.5905280859327521	0.5396859454121284	0.6260664881125043	0.6374097889005015	0.4553844413771543	0.4204516493248088	0.3949057983529965	0.5074829563560231	0.5254551137225153	0.4946958742025846	0.5021568766625273	0.4561003773741619	0.5624151098653682	0.4474387488993275	0.44983868598215154	0.4674086832045727	0.3242318342923232	0.31646161835447784	0.28332811830287485	0.34214699532791343	0.3523069180860652	0.3368707257806836	0.4698251469270916	0.4039587824402717	0.3460857646898623	0.42019004595982656	0.4476427888052502	0.46935238982626737
spaGCN_4	0.339039219473843	0.9275089677918206	0.0	0.5671460787969022	0.5771881094598315	0.5238086452302886	0.36554744356041013	0.37283699102495277	0.3701323161810872	0.5873345039270025	0.5350101668681685	0.6277561820803719	0.6377579772085299	0.45763898040585355	0.41924580455483673	0.3907991629063171	0.5132996259872087	0.5432457737994526	0.5077192467955488	0.5112971112928307	0.456680448752736	0.570353108537721	0.43989994435184326	0.4419014480214032	0.47442321843184637	0.32460977892859666	0.3168369596325556	0.2909721210900808	0.34223754944254753	0.3551728604541108	0.33992528248700954	0.4759951625958655	0.3953651792007359	0.3452508141636753	0.4268654952787757	0.45007105880157844	0.4745114255226463
spaGCN_7	0.21724429036033263	0.5581231290437536	0.5671460787969022	0.0	0.46753075204032435	0.6891128640150846	0.6161900688119805	0.6221094792613934	0.623090799777538	0.44629707257247575	0.4223762675836509	0.5167147741141185	0.4594758996980508	0.3462222143845914	0.3243485901661722	0.3402924343279605	0.45121528694559293	0.3941916848246829	0.43961224176340524	0.42723559144598316	0.3467543964551567	0.4126602516803232	0.34573306265913006	0.34603290375267864	0.5235413127261348	0.47468045603432474	0.4621624882122864	0.4281508640130818	0.4990368551443852	0.5538555237503637	0.5670917506290652	0.3613690335030211	0.3138865688615324	0.26997049144514873	0.30171334992403487	0.3486907242217182	0.370243017093461
spaGCN_14	0.22428391136164716	0.5621654790618689	0.5771881094598315	0.46753075204032435	0.0	0.5558103902589264	0.3159278664366539	0.32419037141283735	0.3207756507214585	0.45678719079446506	0.4836185192178867	0.4543586776854936	0.44387972457944	0.38421161423875283	0.368383818867616	0.36803857340428986	0.4267803189537615	0.4201996786504198	0.4362697834760211	0.39870194701555434	0.42392754371637864	0.442171337646022	0.41036207816154857	0.4058938922843481	0.46157666896045907	0.3019152729352972	0.29349028471743516	0.28516469363297225	0.3198001715975527	0.3474801962220643	0.34032907134638074	0.44728156929592516	0.32062298096455577	0.28357234481635885	0.365077061565889	0.3616550444762461	0.45823907087717863
spaGCN_13	0.21828183086879877	0.5040750915423456	0.5238086452302886	0.6891128640150846	0.5558103902589264	0.0	0.5310450151103291	0.5427546623306343	0.5393154913632304	0.4270750109280954	0.43540817661095843	0.4450356550172424	0.39062362834116765	0.37772924397472907	0.31858964039895954	0.34549091396364007	0.45233213312634846	0.403578543361938	0.4317489609577616	0.42068613543187455	0.3423249618033444	0.37460504706701203	0.35771749022529736	0.3632958071257654	0.533701593872709	0.4524498135733798	0.44642520003168845	0.4485081830755176	0.47539224539113484	0.4655122465014545	0.48064421353049347	0.3672430178364867	0.29968212942611877	0.26694731802559324	0.31727315607850265	0.3248945978258765	0.3823352157024043
scanpy_2	0.19393189441923714	0.3611209448303987	0.36554744356041013	0.6161900688119805	0.3159278664366539	0.5310450151103291	0.0	0.9497075985369715	0.9636929769458334	0.32201308473752843	0.3054016646558944	0.3824089825172979	0.31226626128719753	0.24436042579050393	0.2310666600456361	0.24461139809195478	0.38208467724991163	0.28768452267471134	0.33077267379743297	0.33835853561926527	0.22138122172420197	0.2730970927544787	0.23857424633359103	0.2360806958922949	0.4892765810012288	0.6953387609890057	0.6802243863535277	0.6650498841286597	0.7197527835408416	0.7399761942268462	0.7884181327908096	0.23882730562110532	0.21980358427890379	0.19246834939452043	0.20321289400991102	0.2314511102079686	0.24187559119761845
scanpy_3	0.19742156630243432	0.36815011456930596	0.37283699102495277	0.6221094792613934	0.32419037141283735	0.5427546623306343	0.9497075985369715	0.0	0.9586586088495157	0.3283142357365471	0.3108862852502903	0.38642979089901797	0.31652556360005346	0.25132478273214404	0.23593649635911085	0.25096577927040625	0.38860836960113715	0.2938005132824969	0.33660624442396003	0.3452519062924735	0.22685574386608529	0.27952623297690316	0.24341232320350906	0.24147802504552254	0.49650399011566665	0.6952468955375317	0.6799068516965209	0.6682345964322073	0.7230102575842207	0.7415523688801848	0.794025646345003	0.2452661854465262	0.22356168588841596	0.19598554610038257	0.20705551104190723	0.23672263835698668	0.24791985365931166
scanpy_1	0.1975954574148337	0.36509798174145836	0.3701323161810872	0.623090799777538	0.3207756507214585	0.5393154913632304	0.9636929769458334	0.9586586088495157	0.0	0.32641656543569647	0.30994548314929327	0.38691441119081144	0.31585412803923923	0.24741844817619643	0.2331650271535667	0.2470566731567411	0.38750043967107123	0.29193043955130216	0.3344067461182678	0.3421965274686753	0.2230403710094981	0.2764595056283777	0.24161831578589554	0.23861194354094564	0.4944125607077893	0.6936669627196496	0.6794554344462101	0.6613264691619009	0.7194814189799875	0.7469258817706201	0.7964418317398874	0.24228578615136565	0.22263698567451165	0.1948249636073329	0.2063526601200228	0.233598726011665	0.24477452466947153
bass_5	0.3890687041322025	0.5905280859327521	0.5873345039270025	0.44629707257247575	0.45678719079446506	0.4270750109280954	0.32201308473752843	0.3283142357365471	0.32641656543569647	0.0	0.7937664150294047	0.6418899665430555	0.7275028696663295	0.6367197752516697	0.5427590318356009	0.5446698225513187	0.45069212704897754	0.5400437962581063	0.5603269120626851	0.4553423809398915	0.48964169206772584	0.5263963368673198	0.5639805416974832	0.5489351355650762	0.5213547520010094	0.2623241854790799	0.250382470007448	0.2518499425418498	0.27828625145177227	0.2947354988903733	0.2791272924045108	0.5195524645737559	0.4865813531869949	0.41827359099644235	0.47103657525177345	0.5053196408563162	0.5018175975338243
