	label	GraphST_default	GraphST_2	GraphST_dlpfc	GraphST_1	SEDR_default	SEDR_2	SEDR_dlpfc	SEDR_1	STAGATE_starmap	STAGATE_default	STAGATE_slide_stereo	STAGATE_1	BayesSpace_default	BayesSpace_melanoma	BayesSpace_1	BayesSpace_scc	bass_starmap	bass_default	bass_dlpfc	bass_1	spaGCN_default	spaGCN_2	spaGCN_3	spaGCN_1	stardust_default	stardust_tutorial	stardust_2	stardust_1	SpaceFlow_default	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	DRSC_default	DRSC_FindSVGs	DRSC_all_genes	DRSC_FindVariableFeatures	precast_default	precast_dlpfc	precast_1	precast_BC	seurat-louvain_louvain_3	seurat-leiden_leiden_4	seurat-leiden_leiden_1	seurat-louvain_louvain_1	seurat-louvain_louvain_4	seurat-leiden_leiden_2	seurat-louvain_louvain_2	seurat-leiden_leiden_3	CellCharter_default	CellCharter_2	CellCharter_dlpfc	CellCharter_1	BANKSY_starmap	BANKSY_default	BANKSY_github	BANKSY_dlpfc	scanpy-louvain_louvain_3	scanpy-leiden_leiden_4	scanpy-leiden_leiden_1	scanpy-louvain_louvain_1	scanpy-louvain_louvain_4	scanpy-leiden_leiden_2	scanpy-louvain_louvain_2	scanpy-leiden_leiden_3
label	0.0	0.44788431119671596	0.4918612349163188	0.4577981254990074	0.5063631854476583	0.544075333539634	0.5582845163604262	0.4898125862004544	0.49651476486845875	0.49833029171022186	0.523629843009734	0.3609426745071061	0.47038182795751876	0.5094724972697232	0.5019781448540587	0.5040997487717239	0.5093879713297964	0.49667683079044295	0.4670823218448689	0.5381791932582822	0.5271450893240939	0.4927395071970696	0.449576571212131	0.41588495668751296	0.47192530933195614	0.3738116809604835	0.3673005286158378	0.19133889244000463	0.37266440225799835	0.47005805410698337	0.43443657759819004	0.3079178952266941	0.5008607742418961	0.4942182639975263	0.4277903117167387	0.5150583075128761	0.4171517993413548	0.510113025972083	0.5788918497283592	0.4367832297151154	0.5048208776242603	0.4230998910672387	0.3611373855627665	0.37871867147900207	0.4313017059685713	0.4166481040646127	0.3611373855627665	0.4166481040646127	0.43959588375082503	0.4593622856189805	0.4301394557257994	0.5023102035585613	0.45804769979727966	0.36356884081368274	0.45693671401322816	0.447994999547743	0.46549844911202587	0.2549976173417571	0.20424787254846297	0.2581427238692373	0.27644278602771766	0.2070750648253606	0.201186640268635	0.21355230319763505	0.30349634919283575
GraphST_default	0.44788431119671596	0.0	0.6975618431268448	0.7886334477879686	0.6608837062176267	0.6444532925120124	0.5834569059474805	0.7435031519359373	0.7216198264591781	0.5666842077590737	0.6293138711602944	0.328912205239821	0.43675915329459436	0.7272534268885095	0.6099896499384087	0.611178677151747	0.7256059384716201	0.5611506513208212	0.5143881990965764	0.5852377313159097	0.5657366738861342	0.7001153920059014	0.4511331650777379	0.42723451657337363	0.6632561485750363	0.2700365365198411	0.278182641698496	0.2091310512831207	0.31048919159351485	0.36691503102072104	0.30209824140431324	0.2747614014663976	0.3696104757521925	0.6210576772432361	0.6046132822254745	0.613482130460024	0.5134418947970748	0.6057721013308957	0.5615415836118212	0.4993841867569576	0.6023040300773091	0.3972354656701795	0.3422050320410557	0.32873208385666697	0.4052765110270783	0.3957050501492543	0.3422050320410557	0.3957050501492543	0.4163249762443259	0.37038453802578747	0.38180663152863775	0.4383197320193928	0.5132290516785071	0.3499518500636148	0.502059978893091	0.3531000759253657	0.489498898003403	0.20104017036208027	0.21276206288376723	0.1933390012812373	0.2795550685044172	0.18691361369881204	0.2243625396152993	0.22086343313934226	0.2283874596501436
GraphST_2	0.4918612349163188	0.6975618431268448	0.0	0.6417829262342913	0.7199928772681367	0.6542691048056241	0.598261878139173	0.667738451456478	0.6505511886002231	0.5838685239536402	0.6017343144515824	0.44467041306830374	0.522304483631168	0.6909309176685439	0.647854411965762	0.6440692837443512	0.6910079357418036	0.631450080934205	0.5968562504508312	0.6359373158342919	0.6183360792978351	0.6872109775376332	0.5304609151460979	0.5042456156763392	0.6608078751774338	0.353872183107174	0.3589592924546454	0.22563624974501859	0.3773433264731722	0.4235370911512517	0.3834772741470249	0.3446666864941648	0.44657415771454084	0.6421924682468176	0.6607315593601231	0.6413577658776136	0.591849204327253	0.6230264770480569	0.5590342480994758	0.4808445999761821	0.6202593098371115	0.46634704351528056	0.4574652414422248	0.4336662838073083	0.47376380786541744	0.46827367438151046	0.4574652414422248	0.46827367438151046	0.49237934825938356	0.5017963277756285	0.48534866052933867	0.49708337289658644	0.5686802492908237	0.4291380887997761	0.5542139623489909	0.4982231548575548	0.5609439551224185	0.27578293527470366	0.22970405892464577	0.26170436584113854	0.3177416491190389	0.23823381923532064	0.23865898848944728	0.259014731136487	0.29022771632804034
GraphST_dlpfc	0.4577981254990074	0.7886334477879686	0.6417829262342913	0.0	0.7339551122854013	0.6757633049489402	0.615313949688972	0.8063268496891768	0.771910605661853	0.6076414920300379	0.6532837370562369	0.307313511767015	0.4488373803488946	0.7564286282032809	0.6260571448596851	0.6269286301343014	0.7547191511967275	0.5681613800066267	0.5140122845295294	0.5939860125663274	0.5702487365275691	0.7388931016642448	0.44887474918557485	0.4211891728401559	0.6866299201612033	0.2616253145083221	0.2743942094189847	0.22312074083395284	0.2989253696759883	0.35926402699598775	0.3001312206781361	0.2824604195755578	0.35567435345029247	0.6326231362469996	0.61426361277051	0.6245869902753077	0.5208819518929859	0.6195817859473728	0.5678064913930676	0.5188365699142156	0.6154360043462656	0.38921808736107444	0.33134633933191215	0.3093255079682238	0.39580023842067014	0.3898809311970976	0.33134633933191215	0.3898809311970976	0.4025841878243134	0.36011744969809445	0.3944693076250419	0.4464323815337962	0.5435566040962369	0.36386797388861886	0.5353896680582507	0.35303741904286867	0.502559396623664	0.19427383206730806	0.21041998116670968	0.1918153904393987	0.2766082183852422	0.18666855924159825	0.22305059349366213	0.21492424093134735	0.2211558052017026
GraphST_1	0.5063631854476583	0.6608837062176267	0.7199928772681367	0.7339551122854013	0.0	0.6621207739434112	0.6495863003753106	0.7405561342097157	0.706964689487601	0.6123316124157328	0.605638341825973	0.39432472695123794	0.5199754509906128	0.7180460499783475	0.6672313296006565	0.6599070192609495	0.7190001093439032	0.62609409682824	0.5959705831288519	0.6272135927654455	0.6030921068887402	0.7404416574583809	0.5248809315007381	0.489582998724385	0.69314758282978	0.34625176877898045	0.3570222672090369	0.23484259184646408	0.3716308225478653	0.4175194648051008	0.38012992523855804	0.3531368444611524	0.44133223884325495	0.627458010555401	0.6706689807464379	0.6338498842772196	0.5992555352718067	0.6344997382737205	0.5690831785158036	0.5072113851405388	0.630636061666863	0.4586118634244259	0.42437578177378915	0.40063977247073884	0.4635708208264111	0.4595311941243154	0.42437578177378915	0.4595311941243154	0.4764640946680386	0.4901846029842774	0.5057766414557798	0.5100427534858399	0.6154370656507857	0.4645899918893718	0.6064355242653613	0.5068156109751102	0.5926290214491162	0.26497299023160725	0.22662209701985697	0.24997208219757822	0.3113083971604481	0.23025301242768234	0.23736809848080043	0.245061374113668	0.276361313482083
SEDR_default	0.544075333539634	0.6444532925120124	0.6542691048056241	0.6757633049489402	0.6621207739434112	0.0	0.7466861745258518	0.7201420483212355	0.689405011266428	0.6246861497202552	0.7726907892308845	0.3954232625791365	0.5648677401334179	0.7050697520077622	0.638801519303871	0.6373383103548174	0.7030852439419951	0.660992495744818	0.5470451630271409	0.7313170521868569	0.67847523021879	0.7090525599353236	0.5156787706955087	0.485585109324949	0.6691541021403539	0.3514085347373088	0.3461857662881201	0.19038983840632448	0.37859530816988995	0.4572675910606076	0.41035093721581994	0.35413454785002035	0.46632734618816174	0.7331240061129667	0.6292110743143403	0.7548499226976354	0.547907755133232	0.7860699303653061	0.5977930306138102	0.48553786479787764	0.7802646651393823	0.40913230919395205	0.4047355798877088	0.37093735479102047	0.416919227005215	0.4125574610177531	0.4047355798877088	0.4125574610177531	0.4334549742655552	0.4766603797965345	0.46984534980929205	0.4969501273991776	0.562868852644438	0.4282802633885944	0.5447601441632062	0.47658221975227716	0.5523635288955211	0.25313475178338773	0.23024984680732286	0.24957036385965017	0.29797369995700534	0.22195275709972728	0.20605147441605243	0.2420413301945463	0.2755618519922791
SEDR_2	0.5582845163604262	0.5834569059474805	0.598261878139173	0.615313949688972	0.6495863003753106	0.7466861745258518	0.0	0.6438853256555291	0.6993552165073547	0.574434090703209	0.6980665125643205	0.37371200402802535	0.5000372550693577	0.6406744647776446	0.6262608278780398	0.6219916898240033	0.6401476441995811	0.6281833313650871	0.5295644804344499	0.6797529221689177	0.6576750179875276	0.6369372782830661	0.48460880311054544	0.4529909532885293	0.6057461045438148	0.351921911223846	0.3392113055235258	0.18974668262154806	0.368164157026512	0.4605429102339096	0.3927871161105598	0.330685417276566	0.4777279531474757	0.6500233578719111	0.6000398854501726	0.651596538326954	0.5332761951188332	0.6762509920993842	0.5747161365962095	0.4907608804615403	0.672699469111676	0.40056171684291114	0.40384558852347185	0.36579495486009794	0.4073367776856173	0.3987158635007958	0.40384558852347185	0.3987158635007958	0.4234520021842694	0.46027967462240016	0.4726283477162412	0.47182975026349244	0.5406716747073472	0.40277235802454425	0.5083978978485114	0.46127057633174046	0.509099269792266	0.26864313621569713	0.21881972330239827	0.25572798163059185	0.2917491096523533	0.22041465443595576	0.19046192838949536	0.2377441623854402	0.2874752157003935
SEDR_dlpfc	0.4898125862004544	0.7435031519359373	0.667738451456478	0.8063268496891768	0.7405561342097157	0.7201420483212355	0.6438853256555291	0.0	0.8044200097781138	0.6202819423574999	0.6760712939684822	0.35045406816051705	0.4953867467268482	0.7647020557681192	0.6344962807845068	0.6277824318884183	0.7621207319120458	0.61541029227197	0.538730205816529	0.6190094013354678	0.5882484056722301	0.7700434187139354	0.48631606343634126	0.45755600033817	0.7155003776862993	0.3013671710940612	0.3183809985515351	0.2020643878213906	0.33722855467910345	0.40254014875555433	0.34761324719774966	0.3151432849499677	0.3993718689006257	0.6753057968142778	0.6776209926887894	0.6890065905247902	0.5406721893278611	0.6465623531711391	0.5813079507817905	0.48589667735574055	0.6435503974356487	0.40991905174020893	0.3656467964104607	0.3527392295494905	0.4139313276304278	0.4086769100007382	0.3656467964104607	0.4086769100007382	0.42768611635397347	0.41471780401153513	0.43594386338587454	0.48361652504106845	0.5664264701769715	0.4162488090642229	0.5621881293946579	0.4241949344923486	0.568086310356208	0.22729057040405604	0.2175268627018084	0.2142924595110216	0.2855564266424518	0.19653385970584145	0.22983877993795157	0.22120540131777217	0.24899647783383283
SEDR_1	0.49651476486845875	0.7216198264591781	0.6505511886002231	0.771910605661853	0.706964689487601	0.689405011266428	0.6993552165073547	0.8044200097781138	0.0	0.5916998037611151	0.6594703099779015	0.3623855817591839	0.4780539683786931	0.7620834995901069	0.661642783198241	0.6520115085408076	0.7594872477643297	0.6186603825999467	0.5967922209176645	0.6264524775482021	0.6166018524979316	0.7563749826710754	0.5197900302140652	0.4877740088810333	0.7034277358009345	0.3212916994913256	0.3248121894424844	0.1939354931373144	0.35134494133283417	0.4074843245379029	0.3496453986100191	0.3171607658290482	0.41266669246077203	0.6667195351452461	0.6550466781056705	0.643091474863552	0.5560561743469745	0.6201421349337961	0.6257894577833238	0.5296682653065298	0.6191433838623552	0.4053273760006019	0.39102916494291146	0.3609954734570237	0.4130546496023569	0.4053537940759794	0.39102916494291146	0.4053537940759794	0.4214353082991875	0.430006342118896	0.4421599508761069	0.48264017841633083	0.5788659107040095	0.3877996071803405	0.544224461866643	0.4049570786325085	0.5539218209378104	0.2478565999846433	0.21425729022493592	0.23337612669188115	0.27738206383677294	0.20449816907354973	0.2106873351510148	0.22459326879608588	0.27040743685441954
STAGATE_starmap	0.49833029171022186	0.5666842077590737	0.5838685239536402	0.6076414920300379	0.6123316124157328	0.6246861497202552	0.574434090703209	0.6202819423574999	0.5916998037611151	0.0	0.6736722122084625	0.37956994245833625	0.6047007657664966	0.6132845721793865	0.553001214785434	0.5540468099841235	0.6122401055750427	0.6116805480894211	0.5815259027264538	0.6280536648136972	0.6186019278729316	0.6117016617105526	0.4359800605755487	0.4130807153549722	0.578931491633628	0.3717410441542582	0.3893349920461438	0.2443499337074702	0.39360499671476146	0.46004557747441954	0.4668275167016495	0.3686757224906792	0.4679965685083331	0.6112217284190239	0.5577982424479608	0.5977356349187402	0.5195297853817348	0.6250500638268557	0.5373573557259936	0.40978230912566893	0.6195699575112382	0.4310764389702478	0.40859959024111325	0.3947908258389753	0.4336675495361947	0.4321215544824617	0.40859959024111325	0.4321215544824617	0.4533331049876505	0.45818778366624735	0.48318162928193187	0.5122549383188251	0.5609935748565021	0.4025841846246073	0.5189766938804441	0.4547621994218376	0.5215664216120305	0.27719923817965947	0.21684825521199017	0.26398998111729616	0.3045559298894805	0.22782510709080503	0.20260091872090943	0.2508491249295389	0.282083928663204
