	label	spaGCN_8	spaGCN_1	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_4	CellCharter_2	CellCharter_3	CellCharter_1	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_1	SpaceFlow_4	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_2	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_4	STAGATE_13
bass_5	0.3524376844024958	0.5256697891551342	0.39131951326736186	0.5252159765129921	0.39436004621474974	0.5239665807400533	0.41293084905307437	0.24687063224173744	0.27526991711904614	0.2658454677212475	0.0	0.7109464930040421	0.6405383745517838	0.8310312821677908	0.568160108025303	0.5716474623247706	0.6252399748386877	0.593245874290785	0.5563099835777288	0.5807973810364493	0.6181931505823073	0.6160497021973003	0.5879617080419287	0.6973484229891856	0.6338797763954571	0.4140672226546879	0.20339633154133166	0.1924879515877978	0.19275939140500964	0.17657689740650664	0.35467745112652	0.35546189687404606	0.6981080323729918	0.5209434784643896	0.494845621514083	0.4504655541522105	0.5683391974911357	0.5378470872861897	0.5360613748679028	0.7162561030073612
bass_2	0.4158101997587512	0.5450340359365821	0.4317100856477257	0.5445767072862288	0.428444978631127	0.5125093968521207	0.44790766654865644	0.24246822871615212	0.2647149685831286	0.27053152084813487	0.7109464930040421	0.0	0.5591015738644785	0.7059271802239004	0.5502568728616397	0.630846077937795	0.5900427275881928	0.6111671694592238	0.5377648740424746	0.5775742447863085	0.5678038973735444	0.5763980164852907	0.5502206719145846	0.6401122060672559	0.5791504424774213	0.4598607908318939	0.21704345201163525	0.20618505293644998	0.20533705299940516	0.18761600945911028	0.39780768105115494	0.3494772157545656	0.6516056309778353	0.5973111592768465	0.48897302144335447	0.43557606627231404	0.645194279412317	0.5017688250328052	0.5283627405012538	0.6300188867161082
bass_3	0.2758940318449432	0.4860859390303753	0.47214890075385796	0.4854927990247494	0.47049365739710386	0.5049606359751582	0.4508061563334098	0.33618829265351113	0.3612613739212081	0.3756877439147316	0.6405383745517838	0.5591015738644785	0.0	0.6447688889171901	0.4347273158632846	0.427073470607023	0.47323321731870527	0.4858179215125043	0.45286948342922995	0.48020820411071924	0.4640342839252283	0.4657829289675308	0.4680411518983142	0.517640088691675	0.4561125945687087	0.4242013152745176	0.31237595306415306	0.30462161331251036	0.3037734542463686	0.28817502694716357	0.42146874891841457	0.4245391805997931	0.5306039010459686	0.40600651653113934	0.38656139582147986	0.34239905585172087	0.4138553936415426	0.39610285677088597	0.41861758274545197	0.5275415422557158
bass_4	0.34852649945356834	0.4800884216134207	0.37609476582819623	0.4795330467835562	0.37381141428756964	0.4968280641152374	0.39342306746457784	0.231001105123612	0.2549509676652412	0.25320377862062665	0.8310312821677908	0.7059271802239004	0.6447688889171901	0.0	0.5469554103220594	0.5464708060610681	0.6093673488931157	0.563784885841493	0.5191721624000386	0.5537915921621575	0.5489116946238045	0.5996130004980847	0.5781946121721825	0.6807578040263454	0.614358458353445	0.41572035915567773	0.20945508321980558	0.1980543038570831	0.19816665946063222	0.1813665276028245	0.34356550217479576	0.3375419389804964	0.6786190333852027	0.5115450026030606	0.4635003927326012	0.4336138934383075	0.5565692667919131	0.5186365670850873	0.5284876174315671	0.6439668007043909
CellCharter_2	0.32240070971095086	0.3843453950700352	0.30031982978926963	0.38418089409470463	0.30280421643970085	0.4017884194765767	0.32123509164130226	0.19076056537222033	0.2147706925035473	0.21615522331744144	0.568160108025303	0.5502568728616397	0.4347273158632846	0.5469554103220594	0.0	0.5937298618709941	0.5764862527573968	0.4749898185210493	0.4377016082857753	0.47271782278657454	0.5084095522956207	0.5693389592010778	0.522464324006021	0.6044618272143338	0.5767668168754325	0.330075839556164	0.16122435891227424	0.15266269222396067	0.15233512711531552	0.14041673939055432	0.2799443490394651	0.2732018254709372	0.5765910698179902	0.6008164240753823	0.4568051079919117	0.4585050039312674	0.5688434337053049	0.5000610207708194	0.5270009241069153	0.5233700631251277
CellCharter_3	0.3951966383900413	0.4294492436914377	0.3341411000922361	0.4293807169873254	0.33236584241638273	0.40262407407825007	0.35569457236883983	0.1977584869694582	0.21894157202153244	0.21518401122872577	0.5716474623247706	0.630846077937795	0.427073470607023	0.5464708060610681	0.5937298618709941	0.0	0.6308189396653144	0.4747460132393128	0.4244196423210558	0.4641942989875907	0.47731288350798406	0.4881841025884595	0.44955843025640885	0.6209003466350759	0.6019715553903814	0.36141032192253214	0.16098910148854423	0.1531374645568284	0.15319729435627089	0.14070141688964974	0.30185290466162035	0.2661006370755211	0.5215690631273119	0.5956907520657061	0.5313071127959709	0.510143657973546	0.6300544395203811	0.49660467791372737	0.5463984594022102	0.5443839886320565
CellCharter_1	0.32936852259157645	0.44001491929818565	0.33749359053667133	0.4399575333000976	0.3383954663251288	0.4536099524170574	0.3542041900036057	0.20713759765625883	0.22820952890315688	0.22575961501927438	0.6252399748386877	0.5900427275881928	0.47323321731870527	0.6093673488931157	0.5764862527573968	0.6308189396653144	0.0	0.5331770101970574	0.49201309488007183	0.524366567630277	0.543828062910186	0.5804948176059732	0.5539683698286837	0.6619882652972323	0.6268996063392954	0.38903377633192665	0.17465458747394735	0.16554585139525535	0.16483958014699088	0.15549156973350317	0.32400352435738816	0.30931977385408016	0.6042721229931323	0.5128099263048186	0.4860313766783558	0.47103087778642155	0.5549706121753519	0.5027335747642192	0.539324243717202	0.6074247184303916
SEDR_5	0.3224901791224272	0.5315987237247906	0.44405408475050845	0.5309852149939961	0.44693738035302777	0.520601184844344	0.4595576298968486	0.32458250164939156	0.3512208976293511	0.3482173484998456	0.593245874290785	0.6111671694592238	0.4858179215125043	0.563784885841493	0.4749898185210493	0.4747460132393128	0.5331770101970574	0.0	0.7576448565324753	0.7299729606257649	0.6753299503014897	0.5614883815677322	0.5887729434016562	0.5503983415138499	0.4918884172139152	0.4173554367185397	0.26969386077056445	0.26060072324270767	0.2573710254646131	0.24875692535637361	0.43743772593909985	0.43017256743152243	0.5931028229859655	0.47060944427636353	0.3915473271872819	0.36913151892654056	0.5016763607391103	0.4046059618089321	0.43111646905185114	0.5642871235951175
SEDR_2	0.3337332749937506	0.5016151622626639	0.4323195413694332	0.5015218077689853	0.44576549804864524	0.5158068706275614	0.45129778723610525	0.3281869308421806	0.35556288920681367	0.3497227554193486	0.5563099835777288	0.5377648740424746	0.45286948342922995	0.5191721624000386	0.4377016082857753	0.4244196423210558	0.49201309488007183	0.7576448565324753	0.0	0.7200426389579856	0.6281759218672204	0.5102455662106443	0.5599124362297727	0.5173772796488588	0.4636196343140968	0.42865741357848525	0.27454796843069296	0.2640873309084639	0.2627724318890516	0.2514615494430532	0.4390723352562694	0.4395853644057289	0.5462711764437966	0.4347047345326001	0.3741520009192092	0.3473731814593051	0.44838597340126585	0.3776868278780164	0.4185103902153845	0.5280612088886147
SEDR_3	0.36493236177188193	0.5755499119482658	0.490408964239403	0.5745489805007352	0.4908972733343918	0.49108359446303324	0.49347664987919776	0.3388183123385769	0.36767489059482517	0.36231257008443046	0.5807973810364493	0.5775742447863085	0.48020820411071924	0.5537915921621575	0.47271782278657454	0.4641942989875907	0.524366567630277	0.7299729606257649	0.7200426389579856	0.0	0.7849021950203967	0.5325389794603304	0.5709737220535136	0.545381794520721	0.556707189123236	0.4074727841755464	0.2824488213803511	0.2719282719722197	0.2711793412944393	0.2591793558385657	0.4604549770786306	0.448917783353368	0.56973732293339	0.46768943389885537	0.4049120701117768	0.3857343613205629	0.5551570608401336	0.4000164074088576	0.4281610483023124	0.5479309255636247
