	label	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_4	CellCharter_2	CellCharter_3	CellCharter_1	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_1	SpaceFlow_4	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_13
label	0.0	0.41167840293044233	0.21589364895805863	0.29960667319510653	0.19032769997380267	0.14539376694602563	0.20694767251989832	0.18080548842360372	0.4345473584865149	0.4767883736968373	0.28834470873463586	0.35503283539139907	0.38791072679971533	0.3302501985552541	0.3482272825935947	0.3978090330421981	0.43438415025698074	0.4293727876705548	0.43405686952060213	0.302113665077794	0.30946980992576406	0.42096657666283754	0.45644604880112893	0.2154250664579725	0.20855524417603954	0.20795415375760065	0.22570958513671552	0.2261737965320411	0.22128680628336667	0.23707863421695774	0.316259148785919	0.42948732293854114	0.4007617828527638	0.6076595914542259	0.31139612308079795	0.33379561286395104
spaGCN_4	0.41167840293044233	0.0	0.48582443957058213	0.5385956319098307	0.38160775825923654	0.3111473136432824	0.31429360099911674	0.2907368086164542	0.5246433914906409	0.580894208468669	0.46837319919921766	0.49859132272505163	0.4832162047896094	0.40585635898981776	0.4522425259624704	0.5589626617874401	0.5840739525760252	0.5772282788826759	0.5997868302105258	0.4300690131405458	0.4530785451542264	0.4973081119312063	0.536961465620186	0.36360673821656675	0.29250663824367507	0.2915837807475943	0.30655165163428916	0.3058240781067471	0.41681861341830007	0.44141296517111706	0.4938862470795902	0.47734850900210907	0.3917406718364322	0.4389900321841246	0.4254458860125314	0.48460196088449925
spaGCN_7	0.21589364895805863	0.48582443957058213	0.0	0.35517992249121155	0.6715186781132578	0.6674416071456281	0.6209445105695246	0.6259398287534436	0.34491475913534314	0.3540498298441577	0.3989852056129125	0.334245662248341	0.2850544558904334	0.26218094044302287	0.2870968752193266	0.3866570928357711	0.3728430118953566	0.37006158029607295	0.39479216509847054	0.28121424893190916	0.29198522185187625	0.2845063564314014	0.3087436095404689	0.44876013777295864	0.5556004533619244	0.554679533101881	0.5295000489478341	0.5234475416084723	0.6491906908590519	0.6495976095623097	0.3012491854830162	0.29749419200814176	0.22935634588902776	0.26312454695256454	0.2773392106152964	0.2971690570679243
spaGCN_14	0.29960667319510653	0.5385956319098307	0.35517992249121155	0.0	0.3982838632370541	0.2624675377103827	0.25122646264206966	0.2548167754406808	0.39810053695944914	0.47294576641806546	0.42457996797863273	0.4346543239003666	0.39789483984727214	0.343362085526798	0.3618446832313495	0.44791555750993217	0.47491333720026824	0.4756967221538237	0.4740994176101445	0.38948562309379453	0.40325359880943396	0.4033100680749647	0.39713503077300455	0.3064181443622765	0.25014494822601174	0.24936503675810298	0.257433140957529	0.2559581761174174	0.3124901706272467	0.34517165804368166	0.44252100895946045	0.34989011190169184	0.2805019987597051	0.31934785087784956	0.3607073062939141	0.4092772768380843
spaGCN_13	0.19032769997380267	0.38160775825923654	0.6715186781132578	0.3982838632370541	0.0	0.5596934319247372	0.5391491794378229	0.5402662213151664	0.30634004422618183	0.3336673658846412	0.39790599358652234	0.3361491932029322	0.2733053776178849	0.2723501420441528	0.2884740919693777	0.3471492796724689	0.3627314299754509	0.3511708159366789	0.367644914706797	0.2894079489846061	0.308615016177457	0.26652408158657864	0.2637125926404001	0.4161365970650762	0.5087547427719045	0.5078776673885541	0.490147199225006	0.4812404312807229	0.5188688211913505	0.51941486242729	0.31722683078604363	0.25843297690685607	0.20533625480110113	0.2343097368125749	0.2833490911815198	0.3159029457868549
scanpy_2	0.14539376694602563	0.3111473136432824	0.6674416071456281	0.2624675377103827	0.5596934319247372	0.0	0.8148569424295504	0.8756100090058215	0.225511276548555	0.23644671864815933	0.31040585180687724	0.2345543812098685	0.21987706396156678	0.20646726914245678	0.2143420389098592	0.3286113007106733	0.3299732891260137	0.32823332025590407	0.3290991636783999	0.2146052870838405	0.23301852218953426	0.21534326009250288	0.2291216103250985	0.4819815227757447	0.7004944629701756	0.7013632557457457	0.6596514075622724	0.6488369733109597	0.7405797876007473	0.7476849273830611	0.2328951490964515	0.2154067534579047	0.17506476734197102	0.18484053059584166	0.21727595543200245	0.22857266007934635
scanpy_3	0.20694767251989832	0.31429360099911674	0.6209445105695246	0.25122646264206966	0.5391491794378229	0.8148569424295504	0.0	0.8587205751770183	0.26539338048746286	0.2794438455078194	0.33724646648105555	0.2587263398923768	0.23287593761460743	0.21713500868302457	0.24676253998569542	0.3423188348219534	0.3438675461558186	0.34387908659947786	0.34437307123352123	0.21849849566196494	0.23016518133981073	0.229180301051894	0.2443834927224849	0.4842189293859189	0.65192753023957	0.6522558362936194	0.6969930846860997	0.686876302494096	0.790876518535871	0.7406825933562348	0.2354234113005878	0.22804879455672944	0.18692916831482806	0.23553187303257794	0.22439926038733443	0.24013646524848817
scanpy_1	0.18080548842360372	0.2907368086164542	0.6259398287534436	0.2548167754406808	0.5402662213151664	0.8756100090058215	0.8587205751770183	0.0	0.22809093512466358	0.2409723904409328	0.29430499161041307	0.2213903354245069	0.19879785443348064	0.1846352492359842	0.20964302041181745	0.2988418267017307	0.29857408033316896	0.29760670836715264	0.297262862594792	0.19260200480720155	0.20922303965158928	0.19367869769827953	0.20780573981077943	0.4451820602293788	0.7575762072265486	0.7577362484798651	0.7164360834568874	0.7074287586296494	0.7282863521605452	0.7386563392238414	0.20848812742371156	0.1962055059109151	0.15931990794320802	0.20242660555723505	0.1911149951351149	0.20306584955878484
bass_5	0.4345473584865149	0.5246433914906409	0.34491475913534314	0.39810053695944914	0.30634004422618183	0.225511276548555	0.26539338048746286	0.22809093512466358	0.0	0.7915227972890224	0.6250776514382655	0.7664431049243648	0.5267562363918328	0.5603674294052353	0.5818416219297204	0.5271088292946654	0.5321209514372589	0.5565147306668992	0.5561185528918815	0.50930967436746	0.5073110644699274	0.5416907412077429	0.6037391147722413	0.35839497013518284	0.2229657743179884	0.22234980993314532	0.23719378499808239	0.24206836141031732	0.3396253010233616	0.3387990794053432	0.5338679085041479	0.6626072888521686	0.47137112932360425	0.5490466572579501	0.4959344968692837	0.5758929221538001
bass_2	0.4767883736968373	0.580894208468669	0.3540498298441577	0.47294576641806546	0.3336673658846412	0.23644671864815933	0.2794438455078194	0.2409723904409328	0.7915227972890224	0.0	0.6051895724365444	0.738204329749449	0.5752266838329104	0.5250571371713962	0.5579700414130239	0.5726136714944493	0.5883558038035133	0.6005318523158865	0.6098622758293855	0.46036872517011335	0.4648673862300459	0.5879286980728602	0.6436152979033447	0.38002457162246106	0.2378863494796664	0.2373163070811576	0.25221282685365803	0.2581007839319293	0.357043639170717	0.3765733795638791	0.48839389425133906	0.6167173241777063	0.4522297295510784	0.5191874312857575	0.4740181132085095	0.5130940109764206
bass_3	0.28834470873463586	0.46837319919921766	0.3989852056129125	0.42457996797863273	0.39790599358652234	0.31040585180687724	0.33724646648105555	0.29430499161041307	0.6250776514382655	0.6051895724365444	0.0	0.7489345055251887	0.42618361030293456	0.47424917250194254	0.4768303633980116	0.46331434545214834	0.46561420189669195	0.4806281475445866	0.5052051874759714	0.46630020820015444	0.4758074249058208	0.4572691762008416	0.4529113854232192	0.4458274860059306	0.2888448978499449	0.2881784443878024	0.3026137822090937	0.31063541114359283	0.4077231761620649	0.40261812775272743	0.5158876853851023	0.4882459390118582	0.3585087337007483	0.40049514503114514	0.4778744867779548	0.5438899005660647
