	label	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	CellCharter_2	CellCharter_3	CellCharter_1	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	SpaceFlow_4	STAGATE_12	STAGATE_11	STAGATE_10	STAGATE_13
label	0.0	0.17186001185141148	0.23410864949471652	0.1957027044321387	0.2229244506351848	0.17274378153074424	0.19435251502570008	0.18955277345328034	0.13407212400775728	0.12115323527967256	0.13504682876140456	0.09825205343290683	0.0799449421566534	0.09333645172039631	0.09950597688168396	0.12463613041931651	0.1329587758715339	0.12261526346794478	0.1325576064283469
spaGCN_4	0.17186001185141148	0.0	0.40504240648044615	0.4529067240569369	0.4063873522653836	0.21477161869972244	0.23968068561820663	0.23126076138297946	0.3311997141985297	0.31657660142142996	0.32706688952769897	0.1980109701090013	0.22047423369215963	0.24476446878066713	0.1977569783330609	0.30569681118098035	0.3459955702451079	0.3178108174616428	0.31506701052542163
spaGCN_7	0.23410864949471652	0.40504240648044615	0.0	0.444870219624127	0.5397070153115712	0.28603202329521477	0.3118678972927325	0.3061767395560404	0.23987226432676384	0.22437513931658465	0.24768845168495035	0.19481447279894243	0.1938335026720248	0.2056631712552088	0.20470405475013584	0.25094387285805214	0.27696509802049124	0.23410665248574924	0.25425991758134364
spaGCN_14	0.1957027044321387	0.4529067240569369	0.444870219624127	0.0	0.5693567979607799	0.2321469597423482	0.24439828995061835	0.2439782586879132	0.2786839010947418	0.2663847099771059	0.28328238684612256	0.17529131722674526	0.18697448521387786	0.19237477349143683	0.17388622226226746	0.24985963623181492	0.2958549497855951	0.2564974431174	0.2729779480273246
spaGCN_13	0.2229244506351848	0.4063873522653836	0.5397070153115712	0.5693567979607799	0.0	0.3024412968080057	0.32818001903891253	0.32443875836874275	0.22166884795252176	0.21287754390230393	0.2162064184235408	0.18838706937563715	0.19459387783331877	0.1944664735205558	0.18241296707408233	0.1949686916713218	0.2301419585777267	0.21105302930029465	0.20846914377675907
scanpy_2	0.17274378153074424	0.21477161869972244	0.28603202329521477	0.2321469597423482	0.3024412968080057	0.0	0.6128969113494271	0.8145032687030509	0.179266817131912	0.13792676659502215	0.14111166085829072	0.2224473116893464	0.2336855183896188	0.240909782098319	0.22182537234160496	0.13296048425820872	0.1453356190096661	0.13369553691058242	0.13680750673575837
scanpy_3	0.19435251502570008	0.23968068561820663	0.3118678972927325	0.24439828995061835	0.32818001903891253	0.6128969113494271	0.0	0.6917844177285516	0.19824369383711063	0.15637439131995975	0.16298625989101476	0.2504236614603581	0.2759571455261825	0.26789383661448324	0.26777387085867865	0.13825300897165468	0.16484052946294536	0.1542292540668181	0.14964142967538732
scanpy_1	0.18955277345328034	0.23126076138297946	0.3061767395560404	0.2439782586879132	0.32443875836874275	0.8145032687030509	0.6917844177285516	0.0	0.18535753960354334	0.14773983758304288	0.1493938931152175	0.23291465650168675	0.25974519485383163	0.2469391437011058	0.2498698266220486	0.13507094395306807	0.15371469926894862	0.1456920051844831	0.14287843156509816
CellCharter_2	0.13407212400775728	0.3311997141985297	0.23987226432676384	0.2786839010947418	0.22166884795252176	0.179266817131912	0.19824369383711063	0.18535753960354334	0.0	0.5004693019352104	0.7208861995047505	0.2270193943294386	0.21590045171320865	0.28776222005180485	0.21439562645154775	0.43605055884262556	0.4328919492328144	0.37819620908260043	0.4466843650161532
CellCharter_3	0.12115323527967256	0.31657660142142996	0.22437513931658465	0.2663847099771059	0.21287754390230393	0.13792676659502215	0.15637439131995975	0.14773983758304288	0.5004693019352104	0.0	0.5643081966969693	0.19878101703132917	0.20187384401888353	0.2305723447242003	0.20931079521836504	0.3914205820188919	0.4238201778887586	0.4322578928606433	0.4529755522812104
